Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2012,36001.0,Albany,2859.0,12.0,8.2,0.0,143.0,23381.0,0.0029850746268656717
2012,36003.0,Allegany,557.0,16.0,6.8,0.0,68.0,4665.0,0.00024307243558580456
2012,36005.0,Bronx,14546.0,25.0,9.8,0.0,434.0,200555.0,0.0009569377990430622
2012,36007.0,Broome,2259.0,14.0,7.8,0.0,130.0,18033.0,0.0002620545073375262
2012,36009.0,Cattaraugus,959.0,20.0,6.9,0.0,74.0,8250.0,7.515406583496167e-05
2012,36011.0,Cayuga,810.0,15.0,7.4,0.0,64.0,8010.0,0.00020060180541624874
2012,36013.0,Chautauqua,1505.0,17.0,7.4,0.0,122.0,12954.0,0.002074688796680498
2012,36015.0,Chemung,1009.0,21.0,8.4,0.0,59.0,8268.0,0.002136752136752137
2012,36017.0,Chenango,628.0,13.0,6.8,0.0,57.0,4935.0,0.0029411764705882353
2012,36019.0,Clinton,849.0,13.0,7.6,0.0,68.0,9066.0,0.0003427004797806717
2012,36021.0,Columbia,758.0,14.0,7.2,0.0,64.0,6270.0,9.683354313934346e-05
2012,36023.0,Cortland,503.0,15.0,7.9,0.0,29.0,4669.0,0.0017667844522968198
2012,36025.0,Delaware,634.0,12.0,6.9,0.0,72.0,4627.0,0.00013061650992685477
2012,36027.0,Dutchess,2600.0,10.0,7.0,0.0,223.0,27566.0,0.0024330900243309003
2012,36029.0,Erie,10543.0,14.0,8.4,0.0,474.0,72931.0,0.00017035775127768313
2012,36031.0,Essex,436.0,12.0,6.9,0.0,41.0,4392.0,0.004310344827586207
2012,36033.0,Franklin,563.0,17.0,7.6,0.0,53.0,7665.0,0.00013877324451845685
2012,36035.0,Fulton,623.0,16.0,7.8,0.0,64.0,5387.0,0.0005443658138268917
2012,36037.0,Genesee,610.0,14.0,6.2,0.0,63.0,4695.0,0.00024160425223483932
2012,36039.0,Greene,655.0,12.0,8.6,0.0,63.0,5708.0,0.00032583903551645487
2012,36043.0,Herkimer,714.0,13.0,6.6,0.0,60.0,5822.0,4.8160277403197845e-05
2012,36045.0,Jefferson,1058.0,14.0,6.9,0.0,89.0,12824.0,5.9747864013861504e-05
2012,36047.0,Kings,23335.0,21.0,8.6,0.0,959.0,340105.0,0.0001670564650851988
2012,36049.0,Lewis,265.0,15.0,6.3,0.0,43.0,2623.0,0.00011524720525527257
2012,36051.0,Livingston,587.0,10.0,6.0,0.0,62.0,5838.0,3.171180313312615e-05
2012,36053.0,Madison,678.0,14.0,6.9,0.0,77.0,6489.0,0.0002853067047075606
2012,36055.0,Monroe,6668.0,16.0,8.0,0.0,400.0,57986.0,0.00048520135856380397
2012,36057.0,Montgomery,593.0,15.0,7.4,0.0,48.0,4419.0,0.0004935834155972359
2012,36059.0,Nassau,10320.0,12.0,7.7,0.0,751.0,118561.0,0.0004286326618088298
2012,36061.0,New York,13401.0,17.0,8.5,0.0,447.0,184607.0,0.001287001287001287
2012,36063.0,Niagara,2641.0,15.0,7.8,0.0,165.0,18376.0,6.069065970747102e-05
2012,36065.0,Oneida,2647.0,14.0,8.5,0.0,165.0,21702.0,0.00019519812609798947
2012,36067.0,Onondaga,4444.0,14.0,8.1,0.0,275.0,40295.0,0.00032862306933946765
2012,36069.0,Ontario,1034.0,8.0,6.3,0.0,85.0,8561.0,0.0003244646333549643
2012,36071.0,Orange,3287.0,17.0,6.9,0.0,313.0,41451.0,0.00088261253309797
2012,36073.0,Orleans,433.0,19.0,7.0,0.0,43.0,4698.0,0.02631578947368421
2012,36075.0,Oswego,1338.0,18.0,7.4,0.0,141.0,11804.0,7.404116688879017e-05
2012,36077.0,Otsego,635.0,15.0,7.4,0.0,62.0,6232.0,0.0007604562737642585
2012,36079.0,Putnam,748.0,8.0,7.3,0.0,67.0,6853.0,0.000292654375182909
