County,population
Albany,314848
Allegany,46456
Bronx,1472654
Broome,198683
Cattaraugus,77042
Cayuga,76248
Chautauqua,127657
Chemung,84148
Chenango,47220
Clinton,79843
Columbia,61570
Cortland,46809
Delaware,44308
Dutchess,295911
Erie,954236
Essex,37381
Franklin,47555
Fulton,53324
Genesee,58388
Greene,47931
Hamilton,5107
Herkimer,60139
Jefferson,116721
Kings,2736074
Lewis,26582
Livingston,61834
Madison,68016
Monroe,759443
Montgomery,49532
Nassau,1395774
New York,1694251
Niagara,212666
Oneida,232125
Onondaga,476516
Ontario,112458
Orange,401310
Orleans,40343
Oswego,117525
Otsego,58524
Putnam,97668
Queens,2405464
Rensselaer,161130
Richmond,495747
Rockland,338329
St. Lawrence,108505
Saratoga,235509
Schenectady,158061
Schoharie,29714
Schuyler,17898
Seneca,33814
Steuben,93584
Suffolk,1525920
Sullivan,78624
Tioga,48455
Tompkins,105740
Ulster,181851
Warren,65737
Washington,61302
Wayne,91283
Westchester,1004457
Wyoming,40531
Yates,24774
