FIPS,State,County,Unreliable,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,Sample Size,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,Food Environment Index,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,Unreliable,MV mortality rate,95% CI - Low,95% CI - High,Z-Score,Under review,Cases,Population,"Rates per 100,000",Z-Score,Teen Births ,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,PCP No,PCP Rate,PCP Ratio,Unreliable,Population,PCP No,PCP Rate,PCP Ratio,Z-Score,No of Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,No of Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,Mammography Rate,95% CI - Low,95% CI - High,Z-Score,Under review,AFGR,Z-Score,PSED Num,Population,PSED,Z-Score,% unemployed,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,% Single-Parent Households,Z-Score,Aggregate Population,Violent Crimes,Violent Crime Rate,Z-Score,Unreliable,Homicide Rate,95% CI - Low,95% CI - High,Z-Score,PM Days,Z-Score,Ozone Days,Z-Score,Unreliable,Zip Codes with Healthy Food,# Zip Codes,% Healthy Food,Z-Score,Rec Facs,Population,Rec Fac Rate,Z-Score,# Driving Deaths
36000,New York,,,180130,5933,5896,5971,,46422,16,16,17,,45330,3.5,3.4,3.6,,45562,3.4,3.3,3.5,,,1757678,8.1,8,8.1,,46315,19,19,20,,25,0,,,,45371,17,17,18,,,8,8,8,,,88359,19297729,458,,125212,27,27,27,,0,18,17,18,,,128,781:01:00,,19467789,28248,145,689:01:00,,3401153,75,74,75,,62910,82,81,83,,1275:1,61.4,61,62,,,69,,3438906,5442724,63.2,,8.4,,,,19,19,20,,32680,24,25,24,,34,,58071701,241275,416,,,,,,,4,,5,,,1020,1661,61,,2201,19467789,11,,0
36001,New York,Albany,,2948,6355,6022,6688,0.14,1014,12,10,14,-0.86,983,2.5,2.1,2.9,-1.81,996,2.8,2.3,3.3,-0.89,,22189,8,7.7,8.4,0.89,1014,20,17,23,-0.43,26,0,22,30,-0.38,992,19,16,22,0.31,,7,6,8,-1.38,,1264,298130,424,0.95,1664,20,19,21,-0.71,0,16,13,19,-0.78,410,138,726:01:00,,297537,487,164,611:01:00,-1.22,58261,72,69,74,-0.54,958,88,82,94,-0.86,335:1,69.4,64,75,-0.26,,80,-0.21,50365,70091,71.9,-1.67,6.7,6.5,6.8,-1.44,14,11,17,-0.66,732,20,17,24,-0.24,36,0.62,896481,4318,482,2.4,,,,,,1,-0.05,1,-0.32,,24,38,63,-0.36,36,297537,12,-0.38,0
36003,New York,Allegany,,565,7306,6428,8183,1.17,220,16,11,23,0.54,219,3.8,2.4,5.2,0.44,215,3.7,2.4,5.1,0.52,,3670,6.7,5.9,7.5,-0.63,218,25,18,34,0.53,26,0,21,33,-0.13,218,19,13,27,0.31,,21,16,25,1.76,,59,49649,119,-0.71,376,21,18,23,-0.63,0,19,15,22,0.12,20,41,2469:01:00,,49370,28,57,1763:01:00,0.87,11756,80,75,86,0.11,238,84,72,95,0.24,4114:1,69.2,56,82,-0.24,,80,-0.72,5982,10612,56.4,0.16,8.7,8.4,9.1,0.45,24,19,29,1.1,164,17,12,24,-1.01,31,-0.02,148670,295,198,-0.21,,,,,,0,-0.52,0,-0.64,,11,23,48,0.37,3,49370,6,0.72,0
36005,New York,Bronx,,14630,8139,7978,8300,2.08,1686,26,24,29,3.65,1616,4.5,4,5,1.66,1635,3.8,3.3,4.3,0.68,,158249,9.7,9.6,9.9,2.89,1683,20,17,22,-0.51,28,0,25,33,0.74,1645,14,12,17,-1.04,,5,4,5,-1.84,,15931,1391903,1145,4.86,18292,50,49,50,2.72,0,16,14,18,-0.68,1382,99,1005:01:00,,1389315,1498,108,927:01:00,-0.13,139815,98,96,99,1.37,3441,74,71,77,2.74,1045:1,54.3,51,57,1.82,,,0,185990,397611,46.8,1.3,12.2,12.1,12.3,3.76,39,37,42,3.89,1085,35,31,39,3.34,63,4.42,4134327,17081,413,1.77,,,,,,9,3.72,5,0.99,,25,25,100,-2.12,45,1389315,3,1.27,0
36007,New York,Broome,,2243,7051,6617,7485,0.9,786,13,10,16,-0.58,768,3.5,2.9,4.1,-0.08,762,3.9,3.1,4.6,0.84,,14631,7.6,7.2,8,0.39,786,24,20,28,0.3,28,0,24,33,0.62,764,18,14,22,-0.01,,10,8,11,-0.74,,474,195018,243,-0.04,1408,25,24,26,-0.13,0,18,15,21,-0.14,217,111,897:01:00,,194635,279,143,698:01:00,-0.82,57668,60,58,62,-1.4,1131,87,81,92,-0.58,3816:1,71.2,65,77,-0.51,,80,-0.69,30233,47837,63.2,-0.64,8.2,8,8.3,-0.02,20,16,24,0.39,574,20,16,25,-0.22,36,0.65,586898,1487,253,0.3,,,,,,0,-0.52,0,-0.64,,13,21,62,-0.3,20,194635,10,-0.02,0
36009,New York,Cattaraugus,,1007,7683,6982,8385,1.58,356,20,15,26,1.57,345,3.6,2.7,4.6,0.1,350,3.2,2.1,4.3,-0.26,,6692,6.9,6.3,7.5,-0.47,356,25,20,32,0.63,29,0,23,35,0.99,350,16,12,22,-0.41,,15,12,18,0.48,,132,79688,166,-0.46,750,33,30,35,0.77,0,17,14,20,-0.49,48,60,1663:01:00,,79835,72,90,1109:01:00,0.22,16285,107,102,112,2.05,327,73,64,83,2.94,13306:1,63.3,53,73,0.57,,75,0.9,9214,18134,50.8,0.83,8.6,8.3,8.9,0.36,22,17,26,0.65,254,27,19,37,1.35,34,0.41,240506,540,225,0.03,,,,,,0,-0.52,0,-0.64,,12,24,50,0.27,4,79835,5,0.9,0
36011,New York,Cayuga,,842,6356,5710,7003,0.14,233,15,9,24,0.1,231,3.1,1.7,4.6,-0.77,230,4.5,2.4,6.5,1.79,,5861,7.3,6.6,8,0.04,234,27,21,36,1.04,25,0,19,31,-0.79,227,21,15,29,1.12,,10,8,13,-0.58,,163,79823,204,-0.25,580,28,25,30,0.17,0,18,14,21,-0.2,26,33,3068:01:00,,79755,28,35,2848:01:00,1.29,19734,76,73,80,-0.19,418,86,77,95,-0.36,4985:1,70.2,61,80,-0.38,,70,1.32,10609,20652,51.4,0.75,8.3,8,8.5,0.07,18,14,22,0,169,20,14,28,-0.34,32,0.14,240173,493,205,-0.14,,,,,,1,-0.05,0,-0.64,,7,14,50,0.27,3,79755,4,1.08,0
36013,New York,Chautauqua,,1494,6435,5957,6914,0.22,585,17,13,22,0.72,561,4.5,3.5,5.4,1.66,570,3.6,2.6,4.6,0.37,,10410,7.4,6.9,7.9,0.12,582,23,18,28,0.12,30,0,25,36,1.4,568,22,17,28,1.34,,13,10,15,-0.05,,418,133789,312,0.34,1268,32,30,34,0.69,0,16,13,19,-0.78,78,58,1713:01:00,,133595,102,76,1310:01:00,0.49,28804,72,69,75,-0.5,627,85,78,93,-0.21,482:1,64.6,56,73,0.4,,80,-0.13,17327,31857,54.4,0.4,8.3,8.1,8.5,0.07,25,20,31,1.35,429,18,14,23,-0.69,35,0.56,401922,990,246,0.23,,,,,,0,-0.52,12,3.28,,18,27,67,-0.53,9,133595,7,0.53,0
36015,New York,Chemung,,1005,6668,6064,7272,0.48,336,21,16,26,1.88,322,4.6,3.6,5.7,1.83,330,5.1,3.6,6.7,2.73,,7356,8.5,7.9,9.2,1.49,334,24,19,31,0.39,26,0,21,32,-0.09,332,15,10,21,-0.88,,9,7,11,-0.9,,277,87813,315,0.35,888,40,37,42,1.58,0,15,12,18,-1.16,60,68,1465:01:00,,87902,75,85,1172:01:00,0.31,24089,94,90,98,1.08,525,86,78,94,-0.41,468:1,79.5,70,89,-1.67,,75,0.99,11668,21582,54.1,0.44,8.9,8.7,9.2,0.64,23,18,29,0.97,245,24,18,33,0.78,40,1.19,264106,621,235,0.13,,,,,,0,-0.52,0,-0.64,,8,16,50,0.27,10,87902,11,-0.2,0
36017,New York,Chenango,,602,6522,5730,7314,0.32,258,13,9,18,-0.52,252,4.5,2.6,6.4,1.66,257,2.8,2,3.7,-0.89,,3814,6.9,6.1,7.7,-0.43,257,23,17,29,0.1,26,0,20,32,-0.33,254,15,10,22,-0.98,,17,13,21,0.89,,65,50898,128,-0.67,430,35,32,39,1.07,0,19,15,22,0.18,27,53,1887:01:00,,50937,43,84,1185:01:00,0.33,13772,66,62,71,-0.9,299,83,73,94,0.33,340:1,68.4,58,79,-0.13,,80,-0.37,5860,11698,50.1,0.91,8.9,8.5,9.2,0.64,22,17,27,0.74,184,26,19,36,1.3,35,0.49,153290,184,120,-0.93,,,,,,0,-0.52,0,-0.64,,8,19,42,0.65,2,50937,4,1.08,0
