Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2011,36001.0,Albany,2948.0,12.0,8.0,0.0,0.0,0.0,0.0029850746268656717
2011,36003.0,Allegany,565.0,16.0,6.7,0.0,0.0,0.0,0.00024307243558580456
2011,36005.0,Bronx,14630.0,26.0,9.7,0.0,0.0,0.0,0.0009569377990430622
2011,36007.0,Broome,2243.0,13.0,7.6,0.0,0.0,0.0,0.0002620545073375262
2011,36009.0,Cattaraugus,1007.0,20.0,6.9,0.0,0.0,0.0,7.515406583496167e-05
2011,36011.0,Cayuga,842.0,15.0,7.3,0.0,0.0,0.0,0.00020060180541624874
2011,36013.0,Chautauqua,1494.0,17.0,7.4,0.0,0.0,0.0,0.002074688796680498
2011,36015.0,Chemung,1005.0,21.0,8.5,0.0,0.0,0.0,0.002136752136752137
2011,36017.0,Chenango,602.0,13.0,6.9,0.0,0.0,0.0,0.0029411764705882353
2011,36019.0,Clinton,845.0,16.0,7.8,0.0,0.0,0.0,0.0003427004797806717
2011,36021.0,Columbia,738.0,13.0,7.0,0.0,0.0,0.0,9.683354313934346e-05
2011,36023.0,Cortland,510.0,18.0,8.0,0.0,0.0,0.0,0.0017667844522968198
2011,36025.0,Delaware,638.0,13.0,6.9,0.0,0.0,0.0,0.00013061650992685477
2011,36027.0,Dutchess,2652.0,10.0,6.9,0.0,0.0,0.0,0.0024330900243309003
2011,36029.0,Erie,10681.0,14.0,8.3,0.0,0.0,0.0,0.00017035775127768313
2011,36031.0,Essex,425.0,11.0,5.9,0.0,0.0,0.0,0.004310344827586207
2011,36033.0,Franklin,559.0,16.0,8.1,0.0,0.0,0.0,0.00013877324451845685
2011,36035.0,Fulton,618.0,19.0,7.0,0.0,0.0,0.0,0.0005443658138268917
2011,36037.0,Genesee,595.0,14.0,6.0,0.0,0.0,0.0,0.00024160425223483932
2011,36039.0,Greene,671.0,13.0,8.4,0.0,0.0,0.0,0.00032583903551645487
2011,36043.0,Herkimer,722.0,14.0,6.6,0.0,0.0,0.0,4.8160277403197845e-05
2011,36045.0,Jefferson,1088.0,13.0,6.7,0.0,0.0,0.0,5.9747864013861504e-05
2011,36047.0,Kings,23756.0,22.0,8.6,0.0,0.0,0.0,0.0001670564650851988
2011,36049.0,Lewis,282.0,16.0,6.5,0.0,0.0,0.0,0.00011524720525527257
2011,36051.0,Livingston,576.0,12.0,5.8,0.0,0.0,0.0,3.171180313312615e-05
2011,36053.0,Madison,683.0,13.0,7.3,0.0,0.0,0.0,0.0002853067047075606
2011,36055.0,Monroe,6698.0,16.0,7.8,0.0,0.0,0.0,0.00048520135856380397
2011,36057.0,Montgomery,569.0,12.0,7.1,0.0,0.0,0.0,0.0004935834155972359
2011,36059.0,Nassau,10280.0,13.0,7.7,0.0,0.0,0.0,0.0004286326618088298
2011,36061.0,New York,13616.0,19.0,8.4,0.0,0.0,0.0,0.001287001287001287
2011,36063.0,Niagara,2627.0,15.0,7.7,0.0,0.0,0.0,6.069065970747102e-05
2011,36065.0,Oneida,2600.0,14.0,8.4,0.0,0.0,0.0,0.00019519812609798947
2011,36067.0,Onondaga,4518.0,14.0,8.2,0.0,0.0,0.0,0.00032862306933946765
2011,36069.0,Ontario,1008.0,9.0,6.2,0.0,0.0,0.0,0.0003244646333549643
2011,36071.0,Orange,3264.0,17.0,6.8,0.0,0.0,0.0,0.00088261253309797
2011,36073.0,Orleans,418.0,17.0,7.3,0.0,0.0,0.0,0.02631578947368421
2011,36075.0,Oswego,1376.0,18.0,7.5,0.0,0.0,0.0,7.404116688879017e-05
2011,36077.0,Otsego,622.0,12.0,7.6,0.0,0.0,0.0,0.0007604562737642585
2011,36079.0,Putnam,770.0,9.0,6.9,0.0,0.0,0.0,0.000292654375182909
2011,36081.0,Queens,17881.0,20.0,8.2,0.0,0.0,0.0,0.00017433751743375174
2011,36083.0,Rensselaer,1615.0,14.0,7.4,0.0,0.0,0.0,7.062645667066883e-05
2011,36085.0,Richmond,4449.0,15.0,7.9,0.0,0.0,0.0,0.00019696671262556627
2011,36087.0,Rockland,2224.0,16.0,6.7,0.0,0.0,0.0,0.00047192071731949034
2011,36089.0,St. Lawrence,1300.0,16.0,7.4,0.0,0.0,0.0,0.0007027406886858749
2011,36091.0,Saratoga,1820.0,11.0,6.2,0.0,0.0,0.0,0.00025693730729701953
2011,36093.0,Schenectady,1509.0,12.0,8.1,0.0,0.0,0.0,0.00015206812652068127
2011,36095.0,Schoharie,324.0,14.0,6.4,0.0,0.0,0.0,0.009433962264150943
2011,36097.0,Schuyler,195.0,14.0,6.2,0.0,0.0,0.0,0.0011135857461024498
2011,36101.0,Steuben,1164.0,14.0,7.6,0.0,0.0,0.0,6.220839813374805e-05
2011,36103.0,Suffolk,13094.0,13.0,7.4,0.0,0.0,0.0,0.0001949317738791423
2011,36105.0,Sullivan,1019.0,16.0,7.9,0.0,0.0,0.0,0.00018429782528566163
2011,36107.0,Tioga,554.0,11.0,7.9,0.0,0.0,0.0,5.971931919976112e-05
2011,36109.0,Tompkins,647.0,13.0,6.7,0.0,0.0,0.0,0.000376081233546446
2011,36111.0,Ulster,1930.0,12.0,7.3,0.0,0.0,0.0,0.0007209805335255948
2011,36113.0,Warren,742.0,11.0,6.6,0.0,0.0,0.0,0.001455604075691412
2011,36115.0,Washington,670.0,18.0,7.4,0.0,0.0,0.0,0.006944444444444444
2011,36117.0,Wayne,991.0,14.0,6.5,0.0,0.0,0.0,5.463585204611266e-05
2011,36119.0,Westchester,7144.0,12.0,7.9,0.0,0.0,0.0,0.0037593984962406013
2011,36121.0,Wyoming,405.0,13.0,5.1,0.0,0.0,0.0,0.0013245033112582781
