FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,LBW Births,Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Driving Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,Z-Score,Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# PCP,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,AFGR,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,Annual Violent Crimes,Violent Crime Rate,Z-Score,Average daily PM25,Z-Score,% pop in viol,Pop. In Viol,Z-Score,# Rec Facilities,Rec Facility Rate,Z-Score,# Limited Access,% Limited Access,Z-Score,# Fast Foods,% Fast Foods,Z-Score
36000,New York,,177032,5650,5613,5688,,49967,15,15,16,,48686,3.5,3.4,3.5,,48971,3.4,3.3,3.5,,,143111,1741269,8.2,8.2,8.3,,49854,18,17,18,,25,,,,0,25,,,,48249,17,17,18,,9743,7,7,7,,99919,516,,117903,4685257,25,25,25,,2245437,14,13,14,,15872,82,1221:01:00,,14126,71,1414:01:00,,1621595,66,66,67,,160429,85,84,85,,1285:1,108425,65.9,65,66,,77,,3417679,5303226,64.4,64.2,64.7,,774652,9504239,8.2,,960956,23,22,23,,41015,24,24,25,,1475903,4300246,34,34,35,,76224,391,,10.9,,4,777892,,2137,11,,481881,2,,15083,45,
36001,New York,Albany,2886,6004,5675,6334,0.09,1041,13,10,16,-0.47,1013,2.8,2.3,3.2,-1.16,1021,3.1,2.5,3.7,-0.47,,1771,21756,8.1,7.8,8.5,0.72,1041,19,16,22,-0.36,24,21,28,-1,0,23,20,26,-0.84,1009,19,16,23,0.44,148,7,6,8,-1.09,1410,464,0.82,1522,86121,18,17,19,-0.85,25221,10,9,11,-1.14,284,93,1070:01:00,-1.12,225,70,1426:01:00,-0.94,23529,62,59,65,-0.67,2024,87,83,91,-0.29,1002:1,1480,69.6,65,74,-0.17,81,-0.14,55885,76710,72.9,70.5,75.2,-1.62,10802,153850,7,-1.09,11024,19,16,22,-0.44,872,20,17,24,-0.18,21751,60297,36,34,38,0.6,1270,422,1.38,10.3,-1.02,0,315,-0.79,39,12.8,-0.61,15073,5,0.22,295,47,0.72
36003,New York,Allegany,486,5486,4741,6231,-0.55,228,14,9,21,0.02,226,3.6,2.2,5,-0.03,221,3.5,2.1,4.9,0.09,,254,3595,7.1,6.2,7.9,-0.4,228,21,14,30,0.11,29,23,35,0.47,0,27,21,33,0.39,227,22,15,31,1.2,55,16,12,21,1.51,63,129,-0.8,344,17158,20,18,22,-0.55,4526,12,11,14,-0.16,16,33,3059:01:00,1.05,12,22,4461:01:00,1.07,4791,75,67,82,0.18,574,87,79,94,-0.25,4079:1,311,71.1,62,80,-0.47,86,-1.08,5556,10142,54.8,51.5,58.1,0.54,2076,23757,8.7,0.42,2468,24,19,30,0.49,190,18,13,25,-0.8,3229,10400,31,27,35,-0.05,103,214,-0.1,12.3,1.71,8,2490,-0.22,3,6.1,0.62,1400,3,-0.47,22,39,-0.21
36005,New York,Bronx,14316,7481,7327,7635,1.92,2006,24,22,27,3.09,1909,4.1,3.6,4.5,0.67,1936,3.8,3.4,4.3,0.51,,15856,158839,10,9.8,10.1,2.83,2007,18,16,20,-0.53,28,24,31,-0.01,0,30,27,33,1.55,1907,15,12,17,-0.88,425,4,4,5,-1.82,18465,1333,5.01,17314,381386,45,45,46,2.61,205992,17,16,18,2.21,654,47,2121:01:00,0.54,665,46,2156:01:00,0.06,65180,81,79,83,0.63,8084,78,76,79,3.22,3759:1,4585,60.8,59,63,1.64,58,3.64,187471,391258,47.9,,,1.36,66797,545178,12.3,3.61,147310,41,38,44,3.25,1489,34,30,37,3.15,233880,364671,64,63,65,4.26,8015,576,2.47,11.4,0.44,,,0,46,3.3,1.14,846,0,-1.41,878,63,2.76
36007,New York,Broome,2125,6606,6180,7031,0.84,773,14,11,18,-0.16,751,3.8,3,4.6,0.25,747,3.8,3,4.6,0.51,,1148,14517,7.9,7.5,8.3,0.49,772,20,16,24,-0.14,30,26,34,0.73,0,24,21,28,-0.31,743,17,14,22,-0.18,109,8,6,9,-0.86,579,289,-0.03,1299,55733,23,22,25,-0.15,18901,12,11,13,-0.36,161,80,1244:01:00,-0.65,129,61,1631:01:00,-0.57,22694,62,59,65,-0.68,2152,87,83,91,-0.22,1926:1,1384,67.2,63,72,0.32,80,0,28845,45874,62.9,60.3,65.5,-0.43,7937,93831,8.5,0.24,9462,24,20,29,0.49,687,20,17,24,-0.23,14928,40201,37,34,40,0.74,500,254,0.18,11,-0.09,35,56892,1.57,22,11,-0.27,9555,5,0.16,156,47,0.73
36009,New York,Cattaraugus,1035,6982,6347,7617,1.3,346,20,15,27,1.76,332,3.7,2.7,4.7,0.11,337,3,1.8,4.1,-0.61,,464,6520,7.1,6.5,7.7,-0.4,347,21,16,28,0.15,29,29,29,0.5,0,27,22,32,0.52,337,13,9,17,-1.35,84,15,12,18,1.18,189,235,-0.28,751,22077,34,32,37,1.19,9323,14,13,16,0.78,36,45,2229:01:00,0.62,32,39,2591:01:00,0.39,7246,90,83,97,1.22,797,87,81,94,-0.47,3647:1,463,64.8,57,72,0.82,78,0.23,9591,18071,53.1,49.9,56.2,0.75,3511,40323,8.7,0.42,5038,28,23,33,1.09,290,25,18,34,1.05,6516,18549,35,31,39,0.48,195,245,0.12,12.8,2.38,3,1420,-0.6,5,6.2,0.6,1580,2,-0.77,43,34,-0.82
36011,New York,Cayuga,780,5968,5334,6603,0.05,229,15,9,25,0.3,228,3.2,1.6,4.8,-0.6,228,4.6,2.4,6.9,1.63,,412,5766,7.1,6.5,7.8,-0.4,231,29,22,38,1.66,25,19,30,-0.94,0,26,20,32,0.15,222,23,16,31,1.31,70,12,10,16,0.49,201,251,-0.21,549,20121,27,25,30,0.35,8263,13,11,14,0.19,21,26,3809:01:00,1.28,33,39,2552:01:00,0.37,8854,87,81,93,1,902,87,81,93,-0.39,11428:1,586,75.6,69,83,-1.41,76,0.65,10667,20183,52.9,49.6,56.1,0.77,3139,40577,7.7,-0.47,3442,21,16,26,-0.08,202,19,13,27,-0.45,5169,17237,30,26,34,-0.19,163,205,-0.16,11.1,0.12,2,872,-0.69,3,3.8,1.06,1421,2,-0.84,49,43,0.25
36013,New York,Chautauqua,1515,6713,6198,7229,0.97,631,16,13,21,0.64,605,4.4,3.5,5.4,1.1,618,3.8,2.8,4.9,0.51,,791,10108,7.8,7.3,8.3,0.38,629,23,19,28,0.5,28,24,33,0.28,0,26,22,30,0.12,602,21,16,26,0.82,113,12,10,14,0.34,424,314,0.1,1266,38239,33,31,35,1.08,13103,12,11,13,-0.21,66,49,2042:01:00,0.47,67,47,2109:01:00,0.02,11599,57,52,61,-1.06,1248,88,82,93,-0.53,6740:1,744,69.2,63,75,-0.09,80,-0.01,16996,29827,57,54.1,59.9,0.28,4994,63007,7.9,-0.29,8737,31,26,36,1.57,537,18,15,23,-0.65,10290,29179,35,32,39,0.5,295,221,-0.05,13.4,3.17,7,8804,-0.31,7,5.2,0.79,5593,4,-0.05,92,41,0.01
36015,New York,Chemung,1038,6651,6044,7258,0.89,338,22,17,28,2.28,322,4.4,3.3,5.6,1.1,333,5.4,3.7,7.1,2.75,,609,7082,8.6,7.9,9.3,1.27,337,24,18,31,0.67,27,22,32,-0.3,0,27,22,32,0.55,333,16,11,23,-0.45,51,8,6,11,-0.73,289,325,0.15,828,22116,37,35,40,1.62,7539,11,9,12,-0.9,61,69,1456:01:00,-0.23,43,46,2180:01:00,0.08,9783,101,95,107,1.99,1052,87,81,92,-0.26,3553:1,682,74.5,68,81,-1.18,76,0.69,12246,21514,56.9,53,60.8,0.29,3163,40015,7.9,-0.29,4656,24,18,30,0.45,297,24,17,31,0.62,7309,19628,37,33,42,0.75,189,215,-0.09,11.4,0.52,0,390,-0.77,13,14.6,-0.94,5353,6,0.58,57,45,0.49
36017,New York,Chenango,618,6483,5684,7282,0.69,254,12,9,16,-0.78,244,4.1,2.2,6,0.67,253,2.6,1.8,3.5,-1.17,,248,3696,6.7,5.9,7.5,-0.84,253,24,18,31,0.61,28,22,34,-0.01,0,25,20,32,-0.11,246,18,12,26,0.04,51,14,11,19,1.03,67,133,-0.78,384,12569,31,28,34,0.76,5020,12,11,13,-0.26,25,50,2015:01:00,0.45,15,29,3412:01:00,0.78,6178,64,58,71,-0.52,680,85,78,92,0.36,10079:1,429,66.4,59,74,0.48,82,-0.3,6098,11514,53,48.9,57,0.76,2048,24605,8.3,0.06,2828,26,20,32,0.75,215,25,18,33,0.9,4326,11806,37,31,42,0.68,50,100,-0.91,10.8,-0.3,0,0,-0.8,3,6,0.65,254,1,-1.26,17,27,-1.69
