FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,LBW Births,Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# PCP,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# MHP,MHP Rate,Mental Health Provider Ratio,Z-Score,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,Annual Violent Crimes,Violent Crime Rate,Z-Score,Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average daily PM25,Z-Score,% pop in viol,Pop. In Viol,Z-Score,# Household with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,Workers who Drive Alone,Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,177032,5650,5613,5688,,46792,15,15,16,,45622,3.5,3.4,3.6,,45880,3.4,3.3,3.5,,,142275,1732545,8.2,8.2,8.3,,46662,17,16,17,,24,,,,8,,24,,,,89,,45075,17,17,18,,1424,5934,24,,102763,528,,114570,4677952,24,24,25,,2155975,13,13,13,,16003,82,1216:1,,14794,76,1323:1,14794,73,1362:1,,38365,190,525:1,,1619249,65,64,65,,161770,85,85,86,,114885,62.9,62.4,63.4,,221043,77,,3453805,5291681,65.3,65.0,65.6,,814645,9587182,8.5,,968025,23,23,23,,41015,24,24,25,,1478460,4270784,35,34,35,,76386,392,,38268,40,39,40,,11.7,,27,4850270,,1695880,24,23,24,,4791046,8877453,54,54,54,,4791046,35,35,35,
36001,New York,Albany,2886,6004,5675,6334,0.09,956,13,10,16,-0.42,936,2.6,2.1,3.0,-1.27,940,3.3,2.7,3.9,-0.29,,1813,21768,8.3,8.0,8.7,0.93,956,17,14,21,-0.46,26,22,30,-0.47,8,0.41,23,20,26,-0.73,84,-0.75,926,19,15,23,0.32,19,92,21,-0.65,1460,481,0.84,1500,85874,17,17,18,-0.81,22962,9,8,10,-1.16,284,94,1069:1,-1.13,244,80,1252:1,244,76,1322:1,-1.04,726,225,444:1,-1.12,22481,62,59,65,-0.59,1932,86,82,90,0.08,1526,66.4,62.4,70.5,-0.28,2775,79,0.26,57003,76435,74.6,72.0,77.1,-1.69,11473,155153,7.4,-1.07,9644,17,13,20,-0.67,872,20,17,24,-0.18,21336,59521,36,33,39,0.50,1213,401,1.24,606,40,37,43,-0.81,11.1,-0.74,0,315,-0.73,20260,16,15,17,-0.06,116012,150346,77,76,78,0.20,116012,19,18,20,-1.31
36003,New York,Allegany,486,5486,4741,6231,-0.55,208,16,11,24,0.56,206,3.6,2.1,5.1,-0.06,202,3.3,1.8,4.9,-0.29,,251,3584,7.0,6.2,7.8,-0.51,210,21,14,31,0.27,30,24,36,0.76,9,-0.23,26,20,32,0.43,27,1.92,207,22,15,32,1.22,5,23,22,-0.55,63,129,-0.93,336,16856,20,18,22,-0.50,4073,11,10,12,-0.28,16,33,3049:1,1.05,13,27,3720:1,13,25,4071:1,0.98,64,121,827:1,0.17,4666,74,66,81,0.27,577,85,77,92,0.47,329,66.0,57.2,74.7,-0.18,612,82,-0.26,5535,10019,55.2,52.0,58.4,0.62,2023,23721,8.5,-0.09,2687,27,22,32,0.96,190,18,13,25,-0.80,3153,10157,31,27,35,-0.13,94,194,-0.19,141,57,48,67,1.41,12.7,1.49,7,2053,-0.30,2640,14,12,15,-0.51,14728,20554,72,70,74,-0.15,14728,30,28,32,-0.27
36005,New York,Bronx,14316,7481,7327,7635,1.92,1837,24,22,27,2.83,1752,4.1,3.7,4.6,0.54,1770,4.0,3.4,4.6,0.71,,15658,158411,9.9,9.7,10.0,2.72,1841,18,16,21,-0.28,28,26,31,0.32,7,3.51,29,26,32,1.56,100,-1.50,1737,14,12,17,-0.91,33,252,13,-1.34,18037,1296,4.94,16740,383418,44,43,44,2.40,200788,16,16,17,2.59,689,49,2020:1,0.45,698,50,2018:1,698,48,2084:1,0.05,1710,118,851:1,0.21,64379,76,74,78,0.41,7980,78,76,80,3.29,4951,58.0,55.8,60.1,1.44,15365,60,3.46,189976,390905,48.6,,,1.41,69848,551847,12.7,3.46,158899,44,41,47,3.66,1489,34,30,37,3.15,232033,362863,64,63,65,4.21,8210,591,2.54,2716,40,38,41,-0.82,10.8,-1.18,,,0.00,173240,37,36,37,3.80,123767,524892,24,23,24,-3.26,123767,49,47,50,1.54
36007,New York,Broome,2125,6606,6180,7031,0.84,693,13,10,18,-0.31,673,3.6,2.8,4.4,-0.06,672,3.7,2.9,4.5,0.28,,1165,14546,8.0,7.6,8.5,0.60,693,20,15,25,-0.08,29,25,33,0.51,8,0.44,24,20,28,-0.19,87,-0.87,665,15,11,19,-0.74,14,56,25,-0.26,629,316,0.01,1272,54957,23,22,24,-0.11,18647,12,11,13,0.13,163,82,1221:1,-0.71,123,62,1610:1,123,59,1694:1,-0.38,319,153,653:1,-0.23,21990,64,61,67,-0.44,2070,87,83,91,-0.34,1427,64.3,60.2,68.5,0.15,2448,82,-0.31,29059,45366,64.1,61.3,66.8,-0.43,8179,92438,8.8,0.19,9313,24,20,29,0.55,687,20,17,24,-0.23,14687,39430,37,35,40,0.69,489,246,0.17,479,48,43,52,0.18,11.8,0.18,25,41426,0.82,11800,15,14,16,-0.38,69718,89255,78,77,79,0.27,69718,14,13,15,-1.82
36009,New York,Cattaraugus,1035,6982,6347,7617,1.30,310,18,14,24,1.10,297,4.0,2.9,5.2,0.42,303,2.9,1.6,4.3,-0.86,,462,6421,7.2,6.6,7.8,-0.29,310,23,17,30,0.59,28,22,33,0.03,9,-0.29,28,23,34,1.34,50,0.85,300,12,8,17,-1.56,13,49,27,-0.12,225,282,-0.17,745,21415,35,32,37,1.32,8683,13,12,15,0.89,37,46,2158:1,0.56,34,43,2337:1,34,41,2416:1,0.32,65,79,1264:1,0.69,7010,85,78,91,1.06,789,89,83,96,-1.19,457,60.0,52.9,67.1,1.04,1172,77,0.57,9682,17911,54.1,51.1,57.0,0.76,3577,39991,8.9,0.27,5093,29,23,34,1.22,290,25,18,34,1.05,6111,18399,33,30,37,0.15,179,224,0.02,209,52,45,59,0.69,13.0,1.90,10,5002,-0.09,4485,14,13,15,-0.55,27183,34673,78,77,80,0.28,27183,27,26,29,-0.51
36011,New York,Cayuga,780,5968,5334,6603,0.05,214,11,7,18,-0.85,213,2.2,1.4,3.1,-1.75,214,3.4,2.1,4.7,-0.15,,392,5725,6.8,6.2,7.5,-0.74,216,28,21,37,1.45,25,20,31,-0.82,9,-0.76,23,18,30,-0.51,63,0.25,207,22,16,30,1.17,17,52,33,0.44,189,237,-0.39,538,19712,27,25,30,0.40,7380,12,10,13,0.03,22,28,3624:1,1.23,32,40,2486:1,32,38,2618:1,0.44,99,118,846:1,0.20,8720,88,82,94,1.31,900,87,81,93,-0.25,617,72.0,65.3,78.7,-1.39,991,74,1.13,10819,19631,55.1,51.8,58.5,0.63,3300,40557,8.1,-0.43,3298,20,16,25,-0.10,202,19,13,27,-0.45,5398,16963,32,28,36,-0.03,175,219,-0.01,198,49,42,56,0.37,12.1,0.66,2,912,-0.63,4105,13,11,14,-0.72,29530,36317,81,80,82,0.47,29530,29,27,31,-0.37
36013,New York,Chautauqua,1515,6713,6198,7229,0.97,607,16,12,21,0.47,582,4.4,3.4,5.3,0.90,593,4.1,3.0,5.2,0.85,,804,10060,8.0,7.5,8.5,0.60,607,24,19,29,0.68,28,23,32,0.03,9,0.10,26,21,30,0.40,62,0.27,577,21,16,26,0.76,24,78,31,0.26,514,383,0.34,1250,37665,33,31,35,1.12,11040,10,9,11,-0.66,68,51,1976:1,0.41,70,52,1908:1,70,50,2001:1,-0.02,132,94,1061:1,0.50,11243,62,57,66,-0.59,1214,86,80,91,0.18,774,64.9,59.2,70.5,0.05,1825,83,-0.52,17160,29476,58.2,55.3,61.1,0.26,5324,62702,8.5,-0.12,9170,33,28,38,1.92,537,18,15,23,-0.65,10365,28840,36,33,39,0.51,289,215,-0.04,348,51,46,57,0.65,13.3,2.38,4,4804,-0.50,7635,14,13,15,-0.52,45861,57642,80,78,81,0.36,45861,18,17,19,-1.41
36015,New York,Chemung,1038,6651,6044,7258,0.89,304,19,15,25,1.42,286,4.3,3.2,5.5,0.78,297,5.3,3.5,7.1,2.56,,607,7138,8.5,7.9,9.2,1.16,303,23,17,31,0.64,29,24,35,0.57,8,0.60,26,21,31,0.40,59,0.44,298,16,10,23,-0.58,10,43,23,-0.42,441,496,0.91,828,21737,38,36,41,1.72,6736,10,8,11,-1.04,62,70,1433:1,-0.28,44,49,2021:1,44,47,2131:1,0.10,175,187,536:1,-0.65,9573,99,93,105,2.09,1057,84,78,89,0.86,676,73.4,66.9,79.8,-1.68,1011,73,1.16,12539,21583,58.1,54.3,61.9,0.28,3462,39964,8.7,0.03,4465,23,18,29,0.36,297,24,17,31,0.62,7193,19453,37,32,42,0.65,180,204,-0.12,233,53,46,59,0.79,12.1,0.71,8,7269,-0.24,5050,14,13,16,-0.45,32037,38434,83,82,85,0.60,32037,17,15,19,-1.50
36017,New York,Chenango,618,6483,5684,7282,0.69,238,10,7,14,-1.17,227,4.1,2.0,6.1,0.54,235,2.7,1.8,3.7,-1.15,,258,3696,7.0,6.2,7.8,-0.51,237,23,17,30,0.50,29,23,35,0.44,9,-1.02,23,18,30,-0.51,60,0.39,231,20,13,29,0.65,13,41,32,0.35,77,154,-0.81,400,12382,32,29,36,1.01,5078,12,11,14,0.39,26,52,1928:1,0.36,16,32,3121:1,16,32,3170:1,0.71,72,142,704:1,-0.09,6445,69,62,75,-0.09,720,83,76,90,1.19,483,64.4,57.2,71.5,0.14,740,83,-0.54,5879,11336,51.9,48.0,55.7,1.02,2088,24844,8.4,-0.20,2615,25,19,31,0.58,215,25,18,33,0.90,4356,11403,38,32,44,0.81,59,117,-0.71,127,50,41,58,0.43,11.7,0.11,0,0,-0.74,2660,13,12,15,-0.63,16482,21527,77,75,79,0.17,16482,30,27,32,-0.30
