FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,# With Access,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,Mental Health Provider Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Pop. In Viol,% Pop in Viol,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,177285,5457,5420,5493,,46792,15,15,16,,45622,3.5,3.4,3.6,,45880,3.4,3.3,3.5,,,140929,1726992,8.2,8.1,8.2,,46662,17,16,17,,24,,,,8.0,,23,,,,17712925,91,,45075,17,17,18,,1405,5895,24,,100546,514,,110094,4653712,24,24,24,,2073007,13,12,13,,16171,83,1210:1,,15059,77,1305:1,,42467,216,463:1,44397,226,443:1,,1641189,59,59,60,,164878,86,85,86,,111292,63.1,62.6,63.6,,222316,77,,3475299,5293359,65.7,65.4,65.9,,737270,9636028,7.7,,956127,23,22,23,,120681,21792,5.5,,1477047,4244199,35,34,35,,15407,7.9,,77864,400,,39618,41,41,41,,11.7,,4798791,26,,1731815,24,24,24,,4773429,8870713,54,54,54,,4773429,36,35,36,
36001,New York,Albany,2947,5883,5551,6215,-0.13,956,13,10,16,-0.42,936,2.6,2.1,3.0,-1.27,940,3.3,2.7,3.9,-0.29,,1837,21624,8.5,8.1,8.9,1.16,956,17,14,21,-0.46,26,22,30,-0.51,7.9,0.43,22,19,26,-0.63,273398,90,-0.84,926,19,15,23,0.32,17,87,20,-0.70,1399,458,0.71,1454,85453,17,16,18,-0.82,23634,10,9,11,-0.83,294,96,1039:1,-1.21,258,84,1190:1,-1.21,831,271,369:1,872,284,352:1,-1.26,22695,52,49,55,-0.95,1977,87,83,91,-0.17,1416,64.3,60.1,68.4,0.16,3352,81,-0.08,56833,75864,74.9,72.5,77.3,-1.72,9749,155850,6.3,-1.20,9271,16,13,20,-0.96,115403,24252,4.8,0.24,20503,58778,35,33,37,0.32,452,14.8,-1.06,1122,368,0.98,635,42,39,45,-0.78,11.1,-0.74,315,0,-0.77,20090,16,15,17,-0.14,117426,150021,78,77,79,0.27,117426,19,18,20,-1.30
36003,New York,Allegany,517,6233,5390,7076,0.28,208,16,11,24,0.56,206,3.6,2.1,5.1,-0.06,202,3.3,1.8,4.9,-0.29,,268,3528,7.6,6.7,8.5,0.26,210,21,14,31,0.27,31,24,37,0.97,8.3,-0.24,24,18,30,-0.13,26991,55,1.38,207,22,15,32,1.22,6,22,27,0.05,87,180,-0.85,326,16524,20,18,22,-0.49,3903,11,10,12,-0.22,19,39,2545:1,0.82,13,27,3701:1,0.96,73,152,659:1,73,152,659:1,0.15,4745,61,54,68,-0.28,574,84,77,92,0.96,301,60.8,52.0,69.6,0.80,581,87,-1.09,5359,9866,54.3,51.1,57.6,0.80,1812,23935,7.6,-0.08,2526,26,20,31,0.62,80284,18873,4.3,-0.43,3020,10071,30,26,34,-0.34,90,18.6,-2.12,73,151,-0.42,137,56,47,66,0.74,12.7,1.49,1665,6,-0.34,2710,14,13,16,-0.50,14645,20298,72,70,74,-0.13,14645,30,28,32,-0.29
36005,New York,Bronx,14107,7050,6901,7198,1.24,1837,24,22,27,2.83,1752,4.1,3.7,4.6,0.54,1770,4.0,3.4,4.6,0.71,,15420,157736,9.8,9.6,9.9,2.44,1841,18,16,21,-0.28,28,25,31,0.17,6.4,2.91,29,26,31,1.74,1354743,98,-1.35,1737,14,12,17,-0.91,32,262,12,-1.42,17023,1209,4.92,16088,382802,42,41,43,2.25,194089,16,15,17,2.48,677,48,2080:1,0.50,679,48,2089:1,0.17,2012,142,705:1,2065,146,687:1,0.21,64408,66,64,68,0.12,8251,78,76,79,3.60,4698,61.2,58.9,63.4,0.73,15873,58,3.71,191270,391736,48.8,47.9,49.8,1.47,66025,557683,11.8,3.55,148624,42,39,44,3.27,77007,12107,6.4,2.40,229567,360584,64,63,65,4.23,359,2.5,2.33,8622,620,2.61,2653,38,37,40,-1.14,10.8,-1.18,,,0.00,176530,37,37,38,3.74,120635,524234,23,22,24,-3.28,120635,49,47,51,1.52
36007,New York,Broome,2185,6714,6287,7141,0.85,693,13,10,18,-0.31,673,3.6,2.8,4.4,-0.06,672,3.7,2.9,4.5,0.28,,1171,14579,8.0,7.6,8.5,0.70,693,20,15,25,-0.08,27,23,32,-0.20,7.9,0.43,21,17,25,-1.09,179008,89,-0.80,665,15,11,19,-0.74,15,64,23,-0.32,717,362,0.17,1232,54057,23,22,24,-0.11,16647,11,10,12,-0.26,158,80,1254:1,-0.62,125,63,1580:1,-0.42,346,175,571:1,358,181,552:1,-0.17,22528,58,55,62,-0.46,2162,85,81,89,0.51,1384,63.7,59.5,67.9,0.27,2475,80,0.06,28105,44294,63.5,60.8,66.1,-0.31,7144,91023,7.8,0.15,9479,25,20,30,0.52,90724,18906,4.8,0.30,15081,39015,39,35,42,0.83,230,11.6,-0.18,537,268,0.33,521,52,48,57,0.32,11.8,0.18,12980,8,-0.17,12470,16,14,17,-0.27,68340,87254,78,77,79,0.27,68340,14,13,15,-1.82
36009,New York,Cattaraugus,1037,7068,6402,7735,1.26,310,18,14,24,1.10,297,4.0,2.9,5.2,0.42,303,2.9,1.6,4.3,-0.86,,463,6244,7.4,6.8,8.1,0.08,310,23,17,30,0.59,29,23,35,0.35,8.3,-0.24,29,23,35,1.90,51090,64,0.84,300,12,8,17,-1.56,14,54,26,-0.08,170,214,-0.66,723,20866,35,32,37,1.34,8409,13,12,14,0.97,39,49,2037:1,0.47,35,44,2254:1,0.30,71,90,1111:1,75,95,1052:1,0.75,6662,61,55,67,-0.26,772,87,80,93,-0.09,431,53.1,46.3,60.0,2.20,1117,80,0.12,9599,17723,54.2,51.0,57.3,0.82,3221,39861,8.1,0.35,5040,29,24,34,1.13,80532,18796,4.3,-0.39,6212,18196,34,30,38,0.22,114,14.3,-0.93,166,207,-0.06,213,53,46,60,0.43,13.0,1.90,6066,13,0.21,4680,14,13,16,-0.48,26771,34104,78,77,80,0.28,26771,27,26,28,-0.55
36011,New York,Cayuga,839,6073,5436,6710,0.09,214,11,7,18,-0.85,213,2.2,1.4,3.1,-1.75,214,3.4,2.1,4.7,-0.15,,376,5718,6.6,5.9,7.2,-0.76,216,28,21,37,1.45,29,23,35,0.35,8.6,-0.73,22,17,28,-0.67,54896,69,0.52,207,22,16,30,1.17,14,44,32,0.50,176,221,-0.62,519,19302,27,25,29,0.39,6546,10,9,11,-0.40,23,29,3459:1,1.18,33,42,2408:1,0.41,108,136,736:1,112,141,710:1,0.26,8763,73,68,79,0.62,899,89,82,95,-0.79,580,72.1,65.2,79.0,-1.27,851,77,0.64,10936,19325,56.6,53.2,60.0,0.52,2876,40165,7.2,-0.43,3540,22,17,27,0.05,92756,22265,4.2,-0.55,5501,16640,33,29,37,0.07,86,10.8,0.05,161,200,-0.11,214,54,46,61,0.47,12.1,0.66,516,1,-0.70,4125,13,12,14,-0.74,29213,36110,81,79,83,0.44,29213,29,27,31,-0.34
36013,New York,Chautauqua,1592,6970,6445,7495,1.15,607,16,12,21,0.47,582,4.4,3.4,5.3,0.90,593,4.1,3.0,5.2,0.85,,817,10003,8.2,7.6,8.7,0.83,607,24,19,29,0.68,26,22,31,-0.48,8.0,0.26,27,22,31,0.98,98154,73,0.26,577,21,16,26,0.76,22,77,29,0.18,556,416,0.48,1213,36948,33,31,35,1.12,10986,10,9,11,-0.41,68,51,1964:1,0.40,72,54,1848:1,-0.07,151,113,881:1,159,119,837:1,0.49,11088,52,47,56,-0.97,1172,84,79,90,0.84,732,68.2,62.2,74.2,-0.56,1729,80,-0.01,17723,29354,60.4,57.3,63.5,0.06,4867,61671,7.9,0.19,8092,30,24,35,1.27,80002,17376,4.6,0.04,10203,28335,36,33,39,0.47,229,17.1,-1.71,305,226,0.06,363,54,48,60,0.51,13.3,2.38,836,1,-0.72,7870,14,13,15,-0.52,45474,56944,80,79,81,0.37,45474,19,18,20,-1.33
36015,New York,Chemung,1084,6824,6204,7444,0.98,304,19,15,25,1.42,286,4.3,3.2,5.5,0.78,297,5.3,3.5,7.1,2.56,,592,7163,8.3,7.6,8.9,0.93,303,23,17,31,0.64,31,25,37,1.00,7.7,0.76,25,19,31,0.33,68046,77,0.01,298,16,10,23,-0.58,12,43,28,0.12,406,457,0.71,821,21267,39,36,41,1.83,6647,9,8,11,-0.90,64,72,1389:1,-0.34,45,51,1967:1,0.05,176,199,503:1,185,209,478:1,-0.46,9580,94,88,100,2.20,1072,83,77,88,1.49,652,76.2,69.5,82.9,-2.04,993,76,0.77,12521,21475,58.3,54.6,62.0,0.31,3233,39205,8.2,0.49,4793,26,20,31,0.60,93237,19724,4.7,0.20,6945,19254,36,32,40,0.48,105,11.8,-0.23,201,225,0.06,274,62,54,69,1.34,12.1,0.71,13773,15,0.39,5085,14,13,16,-0.50,32143,38315,84,83,85,0.63,32143,17,15,18,-1.52
36017,New York,Chenango,619,6585,5739,7431,0.69,238,10,7,14,-1.17,227,4.1,2.0,6.1,0.54,235,2.7,1.8,3.7,-1.15,,246,3692,6.7,5.9,7.5,-0.67,237,23,17,30,0.50,33,26,40,1.65,8.7,-0.90,27,21,34,1.05,37232,74,0.19,231,20,13,29,0.65,11,40,28,0.08,131,262,-0.38,397,12127,33,30,36,1.11,4609,11,10,12,0.09,24,48,2081:1,0.50,17,34,2912:1,0.68,80,162,619:1,81,164,611:1,0.02,6213,63,57,69,-0.13,706,84,77,90,1.19,425,60.9,53.5,68.4,0.77,751,82,-0.33,6127,11225,54.6,50.6,58.6,0.77,1770,24917,7.1,-0.48,2552,25,19,30,0.47,83064,19284,4.3,-0.36,3751,11042,34,29,39,0.20,57,11.4,-0.12,60,122,-0.61,120,48,39,56,-0.16,11.7,0.11,0,0,-0.78,2715,14,12,15,-0.63,15875,20827,76,75,78,0.14,15875,30,28,33,-0.24
