FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,Mental Health Provider Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score,
36000,New York,,179333,5408,5372,5445,,17,16,18,,3.6,3.4,3.9,,3.7,3.4,3.9,,,138986,1713715,8,8,8,,14,13,16,,24,,,,7.9,,24,,,,91,,17,15,18,,1355,5790,23,23,24,,95803,490,,103780,4609692,23,22,23,,2037979,12,12,13,,16379,83,1200:1,,15447,78,1278:1,,44882,227,440:1,47059,238,420:1,,1642476,53,53,54,,165673,86,85,86,,113219,62.0,62.0,63.0,,221223,77,,3512332,5312332,66.1,65.8,66.4,,605047,9569072,6.3,,949253,23,22,23,,122344,21843,5.6,,1476366,4224286,35,35,35,,15532,7.9,,77864,400,,40581,42,41,42,,11.7,,,,1752365,24,24,24,,4796959,8950165,54,53,54,,4796959,36,36,36,,
36001,New York,Albany,3013,5897,5564,6230,-0.19,12,12,13,-0.35,3.3,3.1,3.4,-0.36,3.4,3.3,3.6,-0.79,,1854,21622,9,8,9,1.26,14,13,14,-1.04,27,23,31,-0.04,7.7,0.39,22,19,26,-0.80,86,-0.66,19,18,19,0.08,19,91,21,16,27,-0.55,1430,468,0.86,1390,84991,16,16,17,-0.84,21914,9,8,10,-1.02,300,98,1023:1,-1.19,267,87,1154:1,-1.23,888,288,347:1,937,304,329:1,-1.30,22784,49,47,52,-0.75,2049,87,83,91,-0.05,1513,64.0,60.0,68.0,0.00,3284,81,0.00,56119,75391,74.4,72.1,76.8,-1.64,7706,157291,4.9,-1.39,10589,19,15,22,-0.49,115625,24229,4.8,0.20,20408,58318,35,33,37,0.31,455,14.8,-1.11,1122,368,0.98,630,41,38,45,-0.98,11.1,-0.74,Yes,0.59,19450,16,15,17,-0.23,118380,151308,78,77,79,0.25,118380,20,19,20,-1.29,
36003,New York,Allegany,539,6700,5813,7586,0.70,14,13,14,0.16,3.6,3.4,3.8,0.65,3.7,3.6,3.9,0.68,,256,3488,7,7,8,0.02,16,16,17,0.94,30,24,37,0.77,7.9,0.04,22,17,29,-0.66,49,1.55,19,18,20,0.46,5,21,24,12,36,-0.24,114,236,-0.57,320,16208,20,18,22,-0.41,3968,11,10,12,0.09,21,44,2291:1,0.66,13,27,3672:1,0.98,81,170,589:1,82,172,582:1,0.03,4587,50,44,57,-0.69,566,85,77,92,0.71,310,56.0,47.0,64.0,1.38,611,82,-0.14,5373,9814,54.7,51.4,58.1,0.87,1445,23344,6.2,-0.11,2556,27,21,32,0.93,79760,18985,4.2,-0.57,3061,9874,31,27,35,-0.25,90,18.7,-2.22,73,151,-0.42,137,56,47,66,0.63,12.7,1.49,Yes,0.59,2625,14,12,16,-0.57,14564,19834,73,72,75,-0.06,14564,30,28,32,-0.30,
36005,New York,Bronx,14174,6929,6783,7076,0.96,29,28,29,6.18,5.0,4.9,5.1,5.37,4.3,4.2,4.4,3.63,,15156,156486,10,10,10,2.38,19,19,19,2.70,29,26,32,0.49,7.0,1.63,29,27,32,1.88,99,-1.44,14,13,14,-3.65,33,253,13,10,16,-1.39,16116,1144,5.01,15140,379034,40,39,41,2.11,191922,16,15,17,2.50,737,52,1925:1,0.37,698,49,2060:1,0.18,2145,149,670:1,2200,153,654:1,0.22,62462,58,57,60,-0.02,7934,70,69,72,5.33,4488,61.0,59.0,64.0,0.52,15934,56,4.04,194604,396035,49.1,48.2,50.1,1.59,59479,606630,9.8,3.49,154015,43,40,46,3.84,77169,12036,6.4,2.39,227519,361380,63,62,64,4.25,367,2.6,2.39,8622,620,2.61,2671,38,37,40,-1.30,10.8,-1.18,,0.00,180835,38,38,39,3.75,120941,532133,23,22,23,-3.30,120941,50,48,52,1.58,
36007,New York,Broome,2298,6941,6506,7376,0.97,14,13,14,0.24,3.6,3.4,3.7,0.65,3.7,3.6,3.9,0.68,,1159,14516,8,8,8,0.67,16,16,17,0.87,25,20,29,-0.82,7.5,0.75,24,20,29,0.05,87,-0.75,18,17,19,-0.44,13,66,20,14,26,-0.68,668,337,0.05,1152,53278,22,20,23,-0.18,15312,10,9,11,-0.50,165,84,1197:1,-0.71,128,65,1542:1,-0.42,346,175,570:1,359,182,550:1,-0.07,21621,62,59,65,0.25,2121,87,83,91,0.04,1409,65.0,60.0,69.0,-0.18,2287,81,-0.11,27825,43694,63.7,61.0,66.4,-0.27,5826,88320,6.6,0.30,8948,24,18,29,0.41,91511,18905,4.8,0.29,14817,38486,38,35,42,0.80,234,11.8,-0.26,537,268,0.33,550,55,51,60,0.51,11.8,0.18,No,-1.68,12245,15,14,16,-0.33,68183,86308,79,78,80,0.30,68183,14,13,15,-1.80,
36009,New York,Cattaraugus,1035,7389,6685,8093,1.47,14,13,15,0.32,3.7,3.5,3.9,0.99,3.8,3.7,4.0,1.17,,454,6066,7,7,8,0.16,17,16,18,1.50,28,23,34,0.33,7.9,0.04,28,22,34,1.39,63,0.72,18,17,19,-0.66,16,51,31,24,39,0.57,239,301,-0.17,706,20326,35,32,37,1.46,7397,12,10,13,0.38,38,48,2076:1,0.50,35,45,2246:1,0.33,73,93,1077:1,77,98,1021:1,0.78,6335,51,46,57,-0.60,752,85,79,92,0.57,391,50.0,43.0,57.0,2.42,1106,80,0.11,9622,17553,54.8,51.7,57.9,0.86,2529,36768,6.9,0.58,4076,23,18,29,0.38,82147,19381,4.2,-0.52,5977,17994,33,30,36,0.06,115,14.6,-1.04,166,207,-0.06,225,56,49,64,0.63,13.0,1.90,Yes,0.59,4720,15,13,16,-0.46,26883,33602,80,79,81,0.36,26883,28,26,29,-0.52,
36011,New York,Cayuga,854,6081,5435,6726,0.02,12,12,13,-0.27,3.3,3.2,3.5,-0.36,3.5,3.4,3.7,-0.30,,364,5591,7,6,7,-0.82,15,14,16,-0.19,30,24,37,0.92,8.2,-0.49,23,17,29,-0.62,72,0.13,19,19,20,0.61,10,32,31,22,41,0.56,260,327,-0.01,504,18863,27,24,29,0.46,6503,10,9,12,-0.23,22,28,3613:1,1.21,33,42,2389:1,0.43,112,142,704:1,116,147,680:1,0.28,8779,72,66,77,1.07,929,90,84,97,-1.10,608,73.0,66.0,80.0,-1.56,818,78,0.40,11077,18983,58.4,54.9,61.8,0.41,2254,37714,6.0,-0.32,3082,20,15,25,-0.26,95533,22422,4.3,-0.49,5659,16360,35,31,39,0.25,87,10.9,0.00,161,200,-0.11,219,55,48,62,0.47,12.1,0.66,Yes,0.59,3915,12,11,14,-0.83,29213,35807,82,80,83,0.47,29213,30,28,32,-0.29,
36013,New York,Chautauqua,1643,6987,6458,7517,1.02,14,13,14,0.28,3.6,3.5,3.8,0.65,3.8,3.6,4.0,1.17,,816,9830,8,8,9,0.99,16,15,17,0.66,30,25,35,0.77,7.7,0.39,26,21,31,0.72,69,0.35,17,17,18,-0.96,21,66,32,25,38,0.62,480,359,0.19,1159,36138,32,30,34,1.12,11224,11,10,12,-0.08,72,54,1848:1,0.30,72,55,1834:1,-0.04,159,120,831:1,167,126,791:1,0.49,11388,52,47,56,-0.57,1209,85,80,90,0.71,723,67.0,61.0,73.0,-0.52,1725,81,-0.06,17274,29130,59.3,56.3,62.3,0.29,3925,57727,6.8,0.50,7762,29,24,34,1.33,81400,17407,4.7,0.07,10462,28008,37,34,40,0.64,223,16.8,-1.66,305,226,0.06,351,52,47,58,0.20,13.3,2.38,Yes,0.59,8260,15,14,16,-0.37,44685,56246,79,78,81,0.33,44685,19,17,20,-1.35,
36015,New York,Chemung,1076,6767,6141,7393,0.78,13,12,13,-0.16,3.4,3.2,3.6,-0.02,3.6,3.4,3.8,0.19,,566,7086,8,7,9,0.67,16,15,16,0.37,32,26,39,1.42,7.4,0.92,25,19,31,0.16,74,0.01,18,18,19,-0.14,11,42,26,18,35,0.02,340,382,0.33,794,20685,38,36,41,1.91,5948,9,7,10,-1.19,60,68,1475:1,-0.17,47,54,1867:1,0.00,189,215,464:1,201,229,437:1,-0.54,9319,91,85,96,2.61,1066,83,78,89,1.22,614,74.0,68.0,81.0,-1.74,932,74,1.16,12570,21311,59.0,55.4,62.5,0.33,2407,38420,6.3,-0.03,4972,27,22,32,0.94,95250,19707,4.8,0.28,6911,19101,36,32,40,0.48,105,11.9,-0.26,201,225,0.06,268,60,53,68,1.06,12.1,0.71,Yes,0.59,4830,14,12,15,-0.62,32036,38069,84,83,85,0.63,32036,17,15,19,-1.51,
36017,New York,Chenango,639,6474,5651,7298,0.45,13,13,14,0.00,3.5,3.4,3.7,0.32,3.7,3.5,3.9,0.68,,242,3651,7,6,7,-0.70,15,15,16,0.09,33,26,40,1.70,8.3,-0.67,27,21,34,1.13,66,0.51,18,17,18,-0.74,8,38,21,13,30,-0.53,164,328,0.00,377,11873,32,29,35,1.08,3961,10,9,11,-0.50,22,44,2250:1,0.63,17,34,2907:1,0.71,83,168,595:1,84,170,588:1,0.05,5447,61,54,67,0.16,630,88,80,95,-0.20,396,62.0,55.0,70.0,0.34,715,83,-0.31,6149,11060,55.6,51.2,60.0,0.76,1434,23306,6.2,-0.14,2525,25,19,31,0.59,83804,19623,4.3,-0.47,3802,10759,35,30,41,0.36,56,11.3,-0.10,60,122,-0.61,130,52,43,61,0.15,11.7,0.11,No,-1.68,2820,14,13,16,-0.51,15790,20889,76,74,78,0.08,15790,31,28,33,-0.22,
