Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2016,36001.0,Albany,3013.0,12.0,9.0,7.7,91.0,21914.0,0.002881844380403458
2016,36003.0,Allegany,539.0,14.0,7.0,7.9,21.0,3968.0,0.001697792869269949
2016,36005.0,Bronx,14174.0,29.0,10.0,7.0,253.0,191922.0,0.0014925373134328358
2016,36007.0,Broome,2298.0,14.0,8.0,7.5,66.0,15312.0,0.0017543859649122807
2016,36009.0,Cattaraugus,1035.0,14.0,7.0,7.9,51.0,7397.0,0.0009285051067780873
2016,36011.0,Cayuga,854.0,12.0,7.0,8.2,32.0,6503.0,0.0014204545454545455
2016,36013.0,Chautauqua,1643.0,14.0,8.0,7.7,66.0,11224.0,0.0012033694344163659
2016,36015.0,Chemung,1076.0,13.0,8.0,7.4,42.0,5948.0,0.0021551724137931034
2016,36017.0,Chenango,639.0,13.0,7.0,8.3,38.0,3961.0,0.0016806722689075631
2016,36019.0,Clinton,883.0,13.0,7.0,7.3,41.0,6397.0,0.0017889087656529517
2016,36021.0,Columbia,765.0,12.0,7.0,8.2,32.0,5318.0,0.0013192612137203166
2016,36023.0,Cortland,569.0,12.0,7.0,7.9,23.0,3461.0,0.002506265664160401
2016,36025.0,Delaware,670.0,12.0,7.0,8.3,43.0,4240.0,0.0010090817356205853
2016,36027.0,Dutchess,2850.0,13.0,7.0,8.2,108.0,22181.0,0.0022727272727272726
2016,36029.0,Erie,10724.0,14.0,8.0,7.5,263.0,62930.0,0.002127659574468085
2016,36031.0,Essex,472.0,12.0,9.0,8.1,30.0,3192.0,0.0013440860215053765
2016,36033.0,Franklin,585.0,15.0,8.0,7.3,33.0,4941.0,0.002320185614849188
2016,36035.0,Fulton,730.0,13.0,8.0,7.7,31.0,4622.0,0.0009242144177449168
2016,36037.0,Genesee,677.0,12.0,6.0,8.3,43.0,4826.0,0.0012853470437017994
2016,36039.0,Greene,661.0,12.0,9.0,7.9,39.0,3811.0,0.0007087172218284905
2016,36041.0,Hamilton,93.0,10.0,5.0,8.1,4.0,460.0,0.00021208907741251324
2016,36043.0,Herkimer,715.0,13.0,7.0,7.7,34.0,5650.0,0.00042354934349851756
2016,36045.0,Jefferson,1171.0,13.0,7.0,7.2,63.0,10236.0,0.001394700139470014
2016,36047.0,Kings,22003.0,20.0,8.0,6.8,399.0,336464.0,0.0016366612111292963
2016,36049.0,Lewis,274.0,12.0,7.0,7.7,23.0,2737.0,0.00202020202020202
2016,36051.0,Livingston,622.0,13.0,6.0,7.6,39.0,4496.0,0.0007122507122507123
2016,36053.0,Madison,701.0,12.0,6.0,8.0,36.0,4934.0,0.0013812154696132596
2016,36055.0,Monroe,7011.0,13.0,8.0,7.4,211.0,57795.0,0.001996007984031936
2016,36057.0,Montgomery,595.0,15.0,7.0,6.2,25.0,4713.0,0.0008237232289950577
2016,36059.0,Nassau,10372.0,12.0,8.0,9.5,451.0,115073.0,0.0025575447570332483
2016,36061.0,New York,12134.0,14.0,9.0,7.8,219.0,146866.0,0.006944444444444444
