FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,Preventable Hosp. Rate (white),Preventable Hosp. Rate (black),# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (white),% Receiving HbA1c (black),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (white),% Mammography (black),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty - Black,% Children in Poverty - Hispanic,% Children in Poverty - White,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone - Black,% Drive Alone - Hispanic,% Drive Alone - White,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,180891,5339,5303,5375,,16,15,17,,3.8,3.6,4,,3.7,3.5,3.9,,,137098,1698897,8,8,8,,15,14,16,,25,,,,8,,24,,,,91,,18,17,19,,1315,5710,23,22,24,,98814,503,,96113,4553132,21,21,21,,1654986,10,10,10,,16474,83,1199:01:00,,15530,78,1275:01:00,,47493,240,417:01:00,,1637324,48,47,48,,47,58,165068,86,85,86,,1,1,121040,62.1,61.6,62.5,,0.6,0.6,211809,79,,3557902,5332409,66.7,66.4,67,,513077,9679327,5.3,,22,22,23,,,,,123551,21854,5.7,,1468820,4202951,35,35,35,,15602,7.9,,77460,394,,43178,44,44,44,,8.6,,,,1756915,24,24,24,,53,53,53,,,,,4825249,36,36,37,
36001,New York,Albany,2996,5788,5461,6116,-0.27,12,12,13,-0.59,3.4,3.2,3.5,-0.91,3.6,3.4,3.7,-1.14,,1841,21574,9,8,9,1.3,15,15,16,-0.59,25,22,29,-0.69,7.7,0.57,20,17,24,-1.1,86,-0.66,19,18,20,-0.09,22,97,23,18,28,-0.28,1580,515,1.09,1301,84641,15,15,16,-0.84,18101,7,7,8,-0.67,311,101,991:01:00,-1.29,264,85,1172:01:00,-1.16,934,302,331:01:00,-1.24,22793,40,38,43,-1.03,39,60,2148,87,83,91,-0.03,1,1,1713,63.3,59.6,67.1,0.16,0.6,0.6,3163,81,0.25,56483,75081,75.2,73,77.5,-1.71,7007,158773,4.4,-1.39,16,13,20,-0.79,34,28,9,115532,24129,4.8,0.17,20399,58090,35,33,37,0.22,461,15,-1.04,1018,332,0.8,676,44,41,47,-0.96,8.6,-0.12,Yes,0.59,19435,16,15,17,-0.22,78,77,79,0.24,59,62,,118860,20,19,21,-1.3
36003,New York,Allegany,539,6212,5360,7063,0.19,14,13,14,0.01,3.8,3.6,4,0.4,3.9,3.7,4.1,0.57,,246,3476,7,6,8,-0.25,17,16,18,0.37,30,23,37,0.68,8.1,-0.14,20,15,27,-1.17,49,1.55,20,19,21,0.51,3,18,17,6,31,-0.84,107,222,-0.69,307,15896,19,17,22,-0.34,3028,8,7,10,-0.01,21,44,2273:01:00,0.64,14,29,3390:01:00,0.91,83,175,572:01:00,0.03,4627,58,51,65,0.47,,,598,86,78,93,0.36,,,349,61,52.8,69.2,0.58,,,556,86,-0.61,5493,9804,56,52.7,59.3,0.74,1345,23311,5.8,0.23,26,20,31,0.8,,61,25,79792,19533,4.1,-0.75,3059,9713,31,28,35,-0.3,91,19.1,-2.12,84,173,-0.25,133,55,46,65,0.13,8.5,-0.23,Yes,0.59,2735,15,13,16,-0.44,74,73,76,0.01,27,38,74,14712,30,27,32,-0.36
36005,New York,Bronx,14187,6720,6576,6863,0.74,28,27,28,5.9,4.8,4.6,4.9,3.4,4.4,4.3,4.5,2.89,,14844,155062,10,9,10,2.4,17,17,18,0.57,30,28,33,0.94,7.1,1.63,31,29,34,2.77,99,-1.44,14,14,15,-3.1,28,243,12,9,15,-1.31,16168,1140,4.88,13915,372961,37,37,38,1.94,173351,14,13,15,3.09,759,53,1895:01:00,0.34,688,47,2115:01:00,0.25,2399,165,607:01:00,0.14,59642,51,50,53,-0.08,56,56,7454,77,75,79,3.3,1,1,4431,58.6,56.4,60.9,1.02,0.6,0.6,14718,60,4.06,201790,400765,50.4,49.4,51.3,1.47,47691,615993,7.7,2.58,43,40,45,3.73,38,49,17,77487,11892,6.5,2.41,222523,361057,62,60,63,4.03,384,2.7,2.2,8800,621,2.72,2768,39,38,40,-1.46,10.5,2.02,,0,182815,39,38,39,3.77,23,22,23,-3.3,34,26,59,123500,50,48,52,1.57
36007,New York,Broome,2312,6895,6462,7329,0.93,14,14,15,0.26,3.9,3.7,4.1,0.71,4,3.9,4.2,1.17,,1118,14503,8,7,8,0.42,18,18,19,0.97,27,23,33,-0.07,7.6,0.75,26,22,31,0.93,87,-0.75,21,20,21,0.92,16,68,24,17,30,-0.2,719,364,0.17,1079,52641,20,19,22,-0.19,11189,7,6,8,-0.73,165,84,1196:01:00,-0.7,132,67,1489:01:00,-0.49,359,183,548:01:00,-0.04,20452,49,46,52,-0.27,48,,2015,87,83,91,-0.03,1,1,1483,65.9,61.8,70.1,-0.32,0.7,0.6,2217,83,-0.09,28132,42927,65.5,62.8,68.2,-0.47,5257,86925,6,0.56,23,19,27,0.39,49,47,19,92424,18600,5,0.4,15222,38258,40,36,43,0.89,233,11.8,-0.21,567,286,0.49,608,62,57,66,0.73,8.6,-0.12,No,-1.68,12360,15,14,17,-0.28,79,78,81,0.33,54,60,83,68921,15,14,16,-1.73
36009,New York,Cattaraugus,1015,6901,6234,7568,0.94,15,14,15,0.38,4.1,3.9,4.4,1.44,4.1,3.9,4.3,1.57,,476,5983,8,7,9,0.69,18,17,19,0.95,28,23,35,0.19,8,0.04,26,20,33,1.03,63,0.72,19,18,20,-0.05,12,40,30,22,38,0.4,200,254,-0.5,660,19863,33,31,36,1.42,6023,9,8,11,0.56,39,50,2015:01:00,0.45,32,41,2435:01:00,0.48,76,98,1025:01:00,0.81,6350,53,48,59,0.09,,,756,85,78,91,0.59,,,434,55.3,48.3,62.3,1.63,,,1045,84,-0.23,9534,17425,54.7,51.6,57.8,0.91,2252,36302,6.2,0.75,26,21,31,0.89,33,28,27,81918,18931,4.3,-0.43,6250,17686,35,32,39,0.25,114,14.5,-0.92,144,181,-0.2,233,59,52,67,0.49,9,0.33,Yes,0.59,4820,15,14,16,-0.38,81,79,82,0.42,,54,81,27093,27,26,29,-0.57
36011,New York,Cayuga,849,5724,5107,6341,-0.34,12,12,13,-0.56,3.6,3.4,3.8,-0.29,3.8,3.6,3.9,-0.19,,357,5556,6,6,7,-0.94,16,16,17,0,31,25,37,1.01,8.3,-0.49,23,17,28,-0.3,72,0.13,19,19,20,0.14,8,32,25,16,35,-0.06,241,303,-0.2,460,18390,25,23,27,0.38,4679,8,7,9,-0.55,22,28,3583:01:00,1.19,33,42,2372:01:00,0.44,121,155,647:01:00,0.24,8722,67,62,72,1.24,,,952,88,82,94,-0.53,,,657,72.9,66.4,79.4,-1.59,,,824,81,0.26,11002,18783,58.6,55.1,62,0.42,2026,37566,5.4,-0.22,20,16,25,-0.11,26,20,17,97263,22686,4.3,-0.48,5778,16034,36,32,40,0.35,87,11,-0.01,155,194,-0.12,214,54,47,61,0.01,9,0.33,Yes,0.59,3845,12,11,14,-0.85,82,80,83,0.47,56,38,81,29381,32,30,34,-0.17
36013,New York,Chautauqua,1655,6795,6278,7312,0.83,15,14,15,0.5,3.8,3.6,4,0.49,4,3.8,4.1,0.85,,789,9791,8,8,9,0.79,18,17,18,0.71,30,25,35,0.68,7.8,0.39,26,21,31,0.93,69,0.35,18,17,19,-0.62,24,66,36,30,43,0.99,504,379,0.26,1120,35300,32,30,34,1.23,8193,8,7,9,-0.36,72,55,1834:01:00,0.28,73,56,1791:01:00,-0.07,173,132,756:01:00,0.46,11314,42,38,46,-0.87,,,1191,86,81,91,0.3,1,1,764,68.3,62.5,74.2,-0.75,,,1660,83,-0.08,17032,29069,58.6,55.7,61.5,0.41,3544,57869,6.1,0.65,28,23,34,1.25,51,58,25,81649,17523,4.7,0,10489,27369,38,35,42,0.68,224,17,-1.57,310,232,0.14,389,59,53,64,0.45,9,0.33,Yes,0.59,8400,15,14,16,-0.31,81,80,82,0.43,63,68,82,45489,19,17,20,-1.39
36015,New York,Chemung,1111,6956,6320,7593,1,14,13,14,0.06,3.9,3.7,4,0.61,3.9,3.8,4.1,0.68,,560,6957,8,7,9,0.78,18,17,19,0.77,29,23,36,0.52,7.6,0.75,24,19,31,0.27,74,0.01,19,18,19,-0.34,7,45,16,9,24,-0.94,305,345,0.05,752,20171,37,35,40,1.94,4457,6,6,7,-1.16,62,71,1416:01:00,-0.26,47,54,1853:01:00,0,211,242,413:01:00,-0.64,9338,86,80,91,2.8,84,,1079,85,80,91,0.42,1,1,716,71.6,65.4,77.8,-1.36,0.7,0.6,888,73,1.78,12400,21145,58.6,55.1,62.2,0.41,2247,37960,5.9,0.41,23,18,28,0.39,53,23,17,96691,20001,4.8,0.23,6887,19004,36,31,41,0.38,107,12.2,-0.31,179,202,-0.07,270,61,54,69,0.7,8.6,-0.12,Yes,0.59,4865,14,12,15,-0.6,84,83,86,0.63,72,66,85,31639,19,17,21,-1.35
36017,New York,Chenango,660,6472,5666,7278,0.48,14,14,15,0.18,3.8,3.6,4,0.46,3.9,3.7,4.1,0.43,,242,3648,7,6,7,-0.72,17,16,18,0.37,30,24,37,0.91,8.4,-0.67,27,20,33,1.11,66,0.51,19,18,20,-0.35,5,35,14,7,24,-1.06,135,273,-0.38,352,11583,30,27,34,1.06,3388,8,7,10,-0.01,22,45,2247:01:00,0.62,18,37,2714:01:00,0.63,89,182,549:01:00,-0.04,5550,50,44,56,-0.22,,,618,86,79,94,0.16,,,413,67.3,59.4,75.2,-0.57,,,639,84,-0.2,6219,10878,57.2,52.8,61.5,0.6,1291,23148,5.6,0,23,17,29,0.4,,27,23,85642,19883,4.3,-0.46,3800,10520,36,31,41,0.37,58,11.7,-0.19,62,125,-0.58,130,52,43,62,-0.15,8.1,-0.68,No,-1.68,2695,14,12,15,-0.62,76,74,78,0.11,,,75,16020,32,29,34,-0.18
36019,New York,Clinton,896,5749,5157,6341,-0.31,14,14,15,0.28,3.7,3.4,3.9,-0.01,3.9,3.7,4.1,0.55,,403,5448,7,7,8,0.09,18,17,19,0.84,30,25,37,0.91,7.5,0.92,25,19,31,0.49,67,0.46,21,20,22,0.98,7,34,21,12,30,-0.47,328,402,0.4,428,22404,19,17,21,-0.37,5074,8,7,9,-0.26,56,69,1458:01:00,-0.19,42,52,1935:01:00,0.09,159,196,511:01:00,-0.17,9599,69,63,74,1.38,,,1418,89,84,94,-0.7,,,807,72.6,66.7,78.5,-1.54,,,938,85,-0.4,11027,19866,55.5,51.6,59.4,0.81,2134,36013,5.9,0.42,22,18,27,0.23,36,65,21,94933,20253,4.7,0.04,5660,14755,38,32,44,0.69,74,9.1,0.51,105,129,-0.55,231,57,49,64,0.25,8.3,-0.46,Yes,0.59,4400,14,12,15,-0.58,77,74,79,0.16,39,50,79,26557,19,17,21,-1.38
36021,New York,Columbia,777,6374,5573,7176,0.37,12,12,13,-0.56,3.4,3.2,3.6,-0.72,3.5,3.4,3.7,-1.25,,286,3776,8,7,8,0.28,15,15,16,-0.53,25,20,31,-0.83,8.3,-0.49,22,17,28,-0.45,58,1.02,19,18,20,-0.09,7,29,24,14,35,-0.14,119,191,-0.88,280,12589,22,20,25,0.03,4268,9,8,10,0.2,32,52,1941:01:00,0.39,24,39,2563:01:00,0.55,92,150,669:01:00,0.29,7980,51,46,56,-0.07,50,,755,89,82,96,-0.75,1,1,646,68,61.6,74.3,-0.69,0.7,0.7,642,83,0,8035,13021,61.7,57.2,66.3,0.02,1284,31524,4.1,-1.79,19,15,24,-0.27,30,39,12,109274,25932,4.2,-0.58,4165,11325,37,31,43,0.46,61,9.8,0.31,87,142,-0.46,172,55,47,64,0.13,8,-0.8,No,-1.68,3685,15,13,16,-0.44,77,75,79,0.19,68,68,79,22566,36,33,38,0.2
