FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score,Deaths
36000,New York,,5312,5277,5348,,,,,16,15,17,,3.6,3.4,3.7,,3.6,3.4,3.8,,,8,8,8,,,,,14,13,15,,25,,,,9.1,,25,,,,93,,19,18,20,,1239,5584,22,22,23,,103615,525,,18,18,18,,,,,1351396,8,8,8,,16467,83,1202:1,,15923,81,1240:1,,50204,254,393:1,,1222897,47,46,47,,165068,86,85,86,,1,1,121040,62.1,61.6,62.5,,57.8,62.6,211809,79,,3590241,5333181,67.3,67.0,67.6,,463131,9584458,4.8,,21,20,21,,,,,126934,22304,5.7,,1449680,4176807,35,34,35,,15664,7.9,,77460,394,,44920,46,45,46,,8.6,,,,1766950,24,24,24,,53,53,53,,,,,4849630,37,37,37,,186651
36001,New York,Albany,5651,5332,5969,-0.42,9556,4410,5280,13,13,14,-0.74,3.3,3.2,3.4,-1.26,3.8,3.7,3.9,-0.38,,8,8,9,1.30,13,9,7,15,15,16,-0.89,26,23,29,-0.59,8.0,0.53,23,20,26,-0.99,91,-0.79,20,19,21,-0.12,25,99,25,20,31,0.09,1692,549,1.15,13,12,14,-0.86,35,27,7,13476,5,5,6,-0.90,326,105,949:1,-1.44,276,89,1119:1,-1.22,974,315,317:1,-1.21,17187,46,43,50,-0.58,2148,87,83,91,-0.03,83,87,1713,63.3,59.6,67.1,0.16,55.0,64.0,3163,81,0.25,56816,74773,76.0,73.6,78.3,-1.76,6421,158778,4.0,-1.33,16,12,19,-0.78,36,37,8,120282,24493,4.9,0.30,19889,57447,35,32,37,0.15,457,14.8,-1.00,1018,332,0.80,678,44,41,47,-1.12,8.6,-0.12,Yes,0.87,19860,16,15,17,-0.18,77,76,78,0.19,58,62,84,118650,20,19,21,-1.26,3047
36003,New York,Allegany,5801,5006,6596,-0.26,,,,15,14,15,-0.15,4.0,3.9,4.2,0.69,4.3,4.2,4.5,1.52,,7,6,8,-0.38,,,,21,20,22,1.09,29,23,35,0.27,8.2,0.11,25,19,32,-0.45,59,1.40,21,21,22,0.54,5,21,24,12,36,-0.06,94,197,-0.92,16,14,18,-0.45,,,,2165,6,5,7,-0.41,19,40,2498:1,0.75,14,30,3363:1,0.92,90,191,523:1,-0.02,3429,70,61,79,1.16,598,86,78,93,0.36,,,349,61.0,52.8,69.2,0.58,,,556,86,-0.61,5709,9684,59.0,55.3,62.6,0.41,1261,20184,6.2,1.47,26,20,32,1.01,,62,26,82609,19692,4.2,-0.61,3042,9510,32,28,36,-0.23,83,17.5,-1.72,84,173,-0.25,131,55,46,64,-0.11,8.5,-0.23,Yes,0.87,2625,14,13,16,-0.51,75,73,76,0.04,26,39,74,14883,29,27,32,-0.39,541
36005,New York,Bronx,6651,6509,6793,0.63,8437,5790,7593,27,26,27,4.81,4.9,4.7,5.0,3.02,4.3,4.2,4.4,1.38,,9,9,10,2.48,12,8,7,16,16,17,-0.54,30,27,33,0.64,7.9,0.74,31,29,34,1.77,100,-1.37,16,16,17,-2.22,27,227,12,9,15,-1.35,16540,1150,4.68,32,31,32,1.64,27,37,10,139181,11,10,12,3.09,809,56,1799:1,0.23,716,49,2033:1,0.22,2613,179,557:1,0.09,43866,49,47,51,-0.39,7454,77,75,79,3.30,75,78,4431,58.6,56.4,60.9,1.02,57.1,59.5,14718,60,4.06,205726,404806,50.8,49.9,51.8,1.45,43371,609629,7.1,2.57,40,37,43,3.46,39,48,18,79675,12154,6.6,2.41,221026,360626,61,60,63,3.99,384,2.6,2.23,8800,621,2.72,2919,41,39,42,-1.43,10.5,2.02,No,-1.13,188005,39,39,40,3.85,23,22,23,-3.29,34,27,60,127241,51,49,53,1.60,14696
36007,New York,Broome,7047,6610,7483,1.05,10099,6684,7189,17,17,18,0.80,4.0,3.8,4.1,0.59,4.0,3.9,4.2,0.45,,8,7,8,0.52,12,8,7,20,19,21,0.74,27,23,31,-0.38,8.0,0.53,26,22,30,0.02,91,-0.74,21,21,22,0.63,12,66,18,12,25,-0.67,645,327,-0.15,18,17,19,-0.21,25,29,18,9823,6,6,7,-0.22,162,82,1213:1,-0.67,133,68,1469:1,-0.46,365,187,535:1,0.02,15212,47,44,51,-0.53,2015,87,83,91,-0.03,85,87,1483,65.9,61.8,70.1,-0.32,60.7,66.0,2217,83,-0.09,27964,42250,66.2,63.5,68.9,-0.51,4644,85861,5.4,0.40,24,20,29,0.76,48,48,18,93869,19356,4.8,0.22,15050,37975,40,36,43,0.87,235,12.0,-0.25,567,286,0.49,650,66,61,71,0.92,8.6,-0.12,No,-1.13,12615,16,15,17,-0.23,80,79,81,0.35,55,60,84,69293,15,13,16,-1.76,2395
36009,New York,Cattaraugus,7289,6611,7968,1.30,,,,19,18,19,1.36,4.4,4.3,4.6,1.80,4.6,4.4,4.8,2.38,,8,7,9,0.83,11,8,8,23,23,24,1.94,28,23,34,0.03,8.1,0.32,29,23,35,1.00,65,1.00,21,20,22,0.46,8,32,25,16,35,0.07,280,356,0.02,28,26,31,1.23,47,40,26,4693,8,7,8,0.55,38,49,2051:1,0.46,32,41,2427:1,0.51,86,111,903:1,0.75,4918,60,53,66,0.39,756,85,78,91,0.59,,,434,55.3,48.3,62.3,1.63,,,1045,84,-0.23,9504,17244,55.1,52.0,58.2,0.90,2070,35029,5.9,1.04,21,15,26,0.08,50,26,24,84300,19666,4.3,-0.50,6175,17471,35,32,39,0.26,116,14.9,-1.03,144,181,-0.20,243,62,54,70,0.54,9.0,0.33,Yes,0.87,4665,15,14,16,-0.44,81,80,83,0.46,,67,82,27176,27,25,29,-0.61,1043
36011,New York,Cayuga,6191,5541,6841,0.15,6468,,6114,14,13,14,-0.67,3.6,3.5,3.8,-0.38,3.7,3.6,3.9,-0.57,,7,6,7,-0.86,12,8,6,20,20,21,0.90,31,26,37,0.92,8.5,-0.52,28,22,35,0.69,81,-0.10,23,22,24,1.51,11,37,30,21,39,0.58,242,307,-0.27,23,21,25,0.51,49,35,22,4102,7,6,8,-0.03,23,29,3404:1,1.11,35,45,2225:1,0.37,127,163,613:1,0.25,6383,67,61,73,0.95,952,88,82,94,-0.53,,,657,72.9,66.4,79.4,-1.59,,,824,81,0.26,11250,18665,60.3,56.8,63.7,0.25,1851,36763,5.0,-0.07,19,14,23,-0.23,19,16,15,98951,23489,4.2,-0.59,5916,15788,37,33,41,0.56,87,11.1,-0.03,155,194,-0.12,224,57,49,64,0.07,9.0,0.33,Yes,0.87,3730,12,11,13,-0.89,82,81,83,0.50,51,,82,29538,33,31,35,-0.09,930
36013,New York,Chautauqua,7212,6668,7756,1.22,12745,8860,6894,18,18,19,1.17,4.3,4.2,4.4,1.47,4.1,4.0,4.2,0.69,,8,7,8,0.51,11,9,7,24,23,24,2.04,33,28,38,1.44,7.8,0.95,25,21,30,-0.15,79,0.02,20,19,20,-0.36,20,61,33,26,39,0.91,499,378,0.15,29,27,31,1.28,28,63,25,6755,7,6,7,-0.10,75,57,1744:1,0.17,74,57,1750:1,-0.07,182,141,712:1,0.47,8462,41,37,46,-0.96,1191,86,81,91,0.30,82,86,764,68.3,62.5,74.2,-0.75,,,1660,83,-0.08,16817,29132,57.7,54.9,60.5,0.57,3255,56388,5.8,0.86,29,24,34,1.55,56,55,25,83848,17887,4.7,0.02,10139,26990,38,34,41,0.58,226,17.3,-1.67,310,232,0.14,422,64,58,70,0.74,9.0,0.33,No,-1.13,8665,16,15,17,-0.21,81,80,82,0.43,57,66,82,44784,19,18,20,-1.36,1830
36015,New York,Chemung,6712,6086,7338,0.70,9246,,6743,16,16,17,0.34,4.1,3.9,4.3,0.94,4.2,4.0,4.3,0.99,,7,7,8,0.24,10,11,7,21,20,21,0.99,33,28,40,1.66,7.8,0.95,28,23,35,0.86,85,-0.33,18,18,19,-0.95,5,34,15,7,25,-1.05,385,439,0.50,35,32,37,2.06,49,44,33,3462,5,4,6,-1.17,71,82,1226:1,-0.64,48,56,1798:1,-0.01,216,250,400:1,-0.58,6744,74,68,80,1.46,1079,85,80,91,0.42,82,86,716,71.6,65.4,77.8,-1.36,61.9,71.9,888,73,1.78,12747,20931,60.9,57.1,64.7,0.17,2060,36376,5.7,0.73,23,17,29,0.47,43,18,18,96508,20070,4.8,0.17,6990,18823,37,32,42,0.51,111,12.7,-0.46,179,202,-0.07,295,67,60,75,1.04,8.6,-0.12,No,-1.13,4965,14,12,16,-0.55,83,81,84,0.54,72,66,84,30927,19,18,21,-1.32,1184
36017,New York,Chenango,6762,5909,7615,0.75,,,,16,16,17,0.39,3.8,3.6,3.9,0.01,4.0,3.8,4.2,0.33,,7,6,8,-0.44,,,,19,18,20,0.39,31,25,38,1.01,8.5,-0.52,29,23,36,1.10,76,0.23,19,19,20,-0.41,5,33,15,7,25,-1.00,126,255,-0.58,29,26,32,1.30,,,,2534,6,6,7,-0.18,18,37,2714:1,0.86,17,35,2858:1,0.73,91,187,534:1,0.02,4460,50,43,56,-0.33,618,86,79,94,0.16,,,413,67.3,59.4,75.2,-0.57,,,639,84,-0.20,5899,10671,55.3,51.0,59.6,0.88,1155,22916,5.0,-0.07,22,16,27,0.31,,27,20,88667,19894,4.5,-0.28,3776,10382,36,31,41,0.40,58,11.9,-0.23,62,125,-0.58,146,59,50,69,0.30,8.1,-0.68,No,-1.13,2805,14,13,16,-0.50,77,75,79,0.17,,,,16027,33,30,35,-0.11,714
