FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,Preventable Hosp. Rate,Z-Score,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,Z-Score,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,5428,5391,5464,,,,,16,15,17,,3.6,3.4,3.7,,3.6,3.4,3.8,,,8,8,8,,,,,14,13,15,,26,,,,9.1,,25,,,,93,,19,18,20,,1137,5419,21,20,22,,109433,552.8,,16,16,17,,,,,1151995,7,7,7,,16460,83,1200:01:00,,16134,81,1230:01:00,,53126,268,374:01:00,,4141,,,,,41,,,,,46,,,,,207863,82,,3634076,5368675,68,67,68,,455474,9704700,4.7,,20,19,20,,,,,132486,23178,5.7,,1425390,4151439,34,34,35,,15718,8,,74842,379,,46707,47,47,48,,8.5,,,,24,24,24,,,,,53,53,53,,,,,4906304,38,37,38,
36001,New York,Albany,5690,5381,6000,-0.69,8850,5100,5492,13,13,14,-0.74,3.3,3.2,3.4,-1.26,3.8,3.7,3.9,-0.38,,8,8,9,1.31,13,9,7,15,15,16,-0.89,27,24,30,-0.79,8.1,0.52,22,20,24,-0.97,92,-0.88,20,19,21,-0.12,24,100,24,19,29,0.15,1760,568.9,1.17,12,11,13,-0.86,32,25,6,10741,4,4,5,-1.16,325,105,950:01:00,-1.44,278,90,1114:01:00,-1.21,1035,334,299:01:00,-1.25,4219,-0.17,7069,5455,3784,45,0.04,41,41,46,51,-0.73,36,44,53,3014,84,0.09,57547,75122,77,74,79,-1.81,6816,159950,4.3,-1.19,13,10,17,-1.04,32,36,8,124921,25700,4.9,0.23,19962,57045,35,33,37,0.2,449,14.5,-0.98,1074,348,0.9,682,44,41,48,-1.29,9.1,0.49,Yes,0.71,16,15,16,15,1,1,-0.29,77,76,78,0.16,59,63,84,120111,21,20,22,-1.21
36003,New York,Allegany,6617,5763,7472,0.24,,,,15,14,15,-0.15,4,3.9,4.2,0.69,4.3,4.2,4.5,1.52,,7,6,8,-0.22,,,,21,20,22,1.09,35,31,39,0.9,8.2,0.31,29,26,33,1.32,57,1.43,21,21,22,0.54,5,18,28,15,41,0.52,104,219.1,-0.76,15,13,17,-0.4,,,,1936,6,5,6,-0.21,19,40,2478:01:00,0.71,14,30,3350:01:00,0.93,90,192,521:01:00,0.07,3708,-0.89,,,,49,-0.77,,,,46,0.62,31,,46,502,88,-0.57,5669,9521,60,56,63,0.37,1331,19858,6.7,1.78,25,19,31,0.96,,45,25,82991,20161,4.1,-0.67,3083,9490,32,28,37,-0.16,79,16.8,-1.6,92,195,-0.21,126,53,44,62,-0.43,8.5,-0.13,Yes,0.71,15,13,16,11,2,2,-0.44,75,74,77,0.03,14,30,74,14785,29,27,31,-0.44
36005,New York,Bronx,6651,6509,6792,0.27,8212,5524,7749,27,26,27,4.81,4.9,4.7,5,3.02,4.3,4.2,4.4,1.38,,9,9,10,2.51,12,8,7,16,16,17,-0.54,30,27,33,-0.13,7.8,1.16,31,29,33,1.84,100,-1.38,16,16,17,-2.22,31,216,14,11,18,-0.81,17043,1171,4.5,29,28,29,1.49,24,34,10,116497,9,9,10,2.74,837,57,1739:01:00,0.14,734,50,2004:01:00,0.21,2744,187,536:01:00,0.12,5528,1.68,6004,6796,4306,33,2.45,32,32,37,37,3.05,32,33,44,14750,68,3.32,209419,413152,51,50,52,1.5,38533,621649,6.2,1.17,39,36,42,3.38,38,46,18,82595,12606,6.6,2.29,220320,359925,61,60,62,3.92,370,2.5,2.35,8486,586,2.64,3090,43,41,44,-1.44,10.3,1.74,Yes,0.71,39,39,40,31,12,1,3.95,23,22,24,-3.26,34,27,59,132665,52,51,54,1.65
36007,New York,Broome,7609,7139,8079,1.22,10722,6967,7600,17,17,18,0.8,4,3.8,4.1,0.59,4,3.9,4.2,0.45,,8,7,8,0.57,13,9,7,20,19,21,0.74,28,25,32,-0.48,8.1,0.52,23,20,26,-0.6,89,-0.66,21,21,22,0.63,15,66,23,16,29,0.02,700,356.1,0,17,16,18,-0.17,24,27,17,8158,5,5,6,-0.36,168,86,1163:01:00,-0.8,137,71,1413:01:00,-0.53,373,193,519:01:00,0.06,4203,-0.19,5902,7609,4071,44,0.24,39,23,45,50,-0.46,34,41,50,2205,83,0.37,27911,41965,67,64,69,-0.52,4819,85835,5.6,0.46,21,17,25,0.31,50,43,17,96022,19458,4.9,0.32,14524,37592,39,36,42,0.72,238,12.2,-0.33,616,315,0.66,689,70,65,76,1.23,8.9,0.29,No,-1.39,16,15,17,15,1,1,-0.17,80,79,81,0.38,57,59,84,68730,15,14,16,-1.76
36009,New York,Cattaraugus,7397,6699,8095,1.01,,,,19,18,19,1.36,4.4,4.3,4.6,1.8,4.6,4.4,4.8,2.38,,8,7,9,1.05,12,9,8,23,23,24,1.94,37,33,40,1.31,8.2,0.31,26,24,29,0.43,63,1.02,21,20,22,0.46,8,38,21,13,30,-0.15,287,368.3,0.07,26,24,29,1.14,47,33,24,4441,7,6,8,1.02,39,50,1992:01:00,0.38,35,45,2210:01:00,0.38,86,111,899:01:00,0.82,4869,0.75,12798,,4914,43,0.44,36,55,44,46,0.62,44,37,47,1041,85,-0.02,9386,17048,55,52,58,0.94,2166,34668,6.2,1.23,23,18,29,0.69,64,28,22,87984,19959,4.4,-0.32,6123,17261,35,32,39,0.27,117,15.1,-1.13,153,197,-0.2,266,68,60,76,1.03,9.3,0.7,No,-1.39,15,14,16,12,2,2,-0.37,82,81,84,0.5,,52,83,27180,27,26,29,-0.62
36011,New York,Cayuga,6301,5640,6963,-0.08,6633,,6417,14,13,14,-0.67,3.6,3.5,3.8,-0.38,3.7,3.6,3.9,-0.57,,6,6,7,-0.87,12,7,6,20,20,21,0.9,33,30,37,0.57,8.7,-0.75,24,21,27,-0.27,79,-0.02,23,22,24,1.51,9,38,24,15,33,0.12,208,265.7,-0.5,21,19,23,0.43,51,34,19,3361,6,5,6,-0.25,24,31,3244:01:00,1.03,36,46,2156:01:00,0.34,132,170,588:01:00,0.27,5876,2.17,993,13110,5855,51,-1.17,38,44,51,55,-1.81,44,43,55,762,83,0.35,11215,18606,60,57,64,0.28,1843,36134,5.1,-0.17,20,14,25,0.06,29,27,15,102031,23749,4.3,-0.45,5919,15458,38,34,42,0.67,84,10.8,0.06,190,241,0.12,235,60,52,68,0.23,8.3,-0.33,Yes,0.71,12,11,13,11,1,1,-0.88,83,81,84,0.51,56,38,83,29807,33,31,35,-0.14
36013,New York,Chautauqua,8009,7422,8596,1.62,12970,8772,7813,18,18,19,1.17,4.3,4.2,4.4,1.47,4.1,4,4.2,0.69,,7,7,8,0.15,12,8,7,24,23,24,2.04,33,30,36,0.57,7.9,0.95,27,25,29,0.59,81,-0.13,20,19,20,-0.36,15,53,28,21,36,0.58,539,412.1,0.31,27,25,28,1.19,25,61,23,5619,6,5,6,-0.22,73,56,1774:01:00,0.18,73,57,1768:01:00,-0.02,192,149,672:01:00,0.47,4333,-0.01,3965,8548,4148,47,-0.36,39,46,47,51,-0.73,39,45,52,1521,83,0.27,16808,28975,58,55,61,0.57,3394,55854,6.1,1.02,28,22,33,1.38,51,52,23,85744,18224,4.7,0.04,9845,26583,37,34,40,0.49,226,17.5,-1.79,356,271,0.34,431,66,60,72,0.81,9.6,1.01,No,-1.39,16,15,17,14,1,2,-0.16,81,80,82,0.41,54,65,83,44325,19,18,20,-1.38
36015,New York,Chemung,7642,6949,8336,1.26,10513,,7636,16,16,17,0.34,4.1,3.9,4.3,0.94,4.2,4,4.3,0.99,,7,7,8,0,10,11,7,21,20,21,0.99,35,31,39,0.9,7.9,0.95,27,24,31,0.77,82,-0.22,18,18,19,-0.95,3,31,10,3,20,-1.28,324,372.1,0.09,32,29,34,1.92,47,50,30,3076,5,4,5,-0.99,66,76,1308:01:00,-0.49,48,56,1782:01:00,-0.01,236,276,363:01:00,-0.71,5340,1.41,4886,2947,5361,52,-1.37,51,48,52,51,-0.73,43,52,51,904,76,1.74,12576,20768,61,57,64,0.24,2007,35872,5.6,0.43,24,18,29,0.74,43,22,19,99549,20872,4.8,0.12,7070,18486,38,34,43,0.66,105,12.2,-0.32,169,193,-0.23,318,73,65,81,1.5,8.3,-0.33,No,-1.39,14,12,15,13,1,1,-0.59,82,81,84,0.5,68,65,84,30572,19,17,21,-1.37
36017,New York,Chenango,7620,6669,8572,1.24,,,,16,16,17,0.39,3.8,3.6,3.9,0.01,4,3.8,4.2,0.33,,7,6,7,-0.71,,,,19,18,20,0.39,36,32,40,1.11,8.6,-0.54,24,20,27,-0.39,74,0.33,19,19,20,-0.41,4,30,13,5,24,-0.92,103,210.9,-0.8,28,25,31,1.4,,,,1985,5,4,6,-0.56,18,37,2699:01:00,0.82,17,36,2815:01:00,0.73,92,192,520:01:00,0.07,3790,-0.78,,2723,3757,43,0.44,,31,43,48,0.08,63,48,48,584,85,-0.07,5976,10520,57,53,61,0.72,1221,22593,5.4,0.2,18,13,24,-0.19,86,34,17,89921,20369,4.4,-0.31,3408,10155,34,28,39,0,59,12.1,-0.32,90,183,-0.3,145,59,50,69,0.18,8.2,-0.44,No,-1.39,14,12,16,11,2,1,-0.57,77,75,80,0.17,,,,16435,34,31,36,-0.06
