FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score,
36000,New York,,,191195,5406,5370,5443,,4789,4227,5351,,2642,2554,2731,,7772,7660,7883,,4477,4405,4550,,5350,5299,5400,,16,16,17,,3.6,3.4,3.7,,3.6,3.5,3.8,,,8,8,8,,9,8,10,8,8,9,12,12,13,8,8,8,6,6,6,13,12,14,,26,,,,9.0,,23,,,,93,,19,18,20,,1042,5057,21,20,21,,119571,602.4,,14,14,14,,12,11,14,4,4,4,19,19,20,26,26,27,8,8,9,1007242,6,6,6,,16366,84,1194:1,,16575,85,1174:1,,59204,304,329:1,,4043,,6021,2656,5752,4907,3766,42,,33,31,35,33,45,50,,29,52,34,39,53,11835343,13631937,87,87,87,,3638743,5298957,69,68,69,,376832,9514386,4.0,,18,18,19,,27,17,29,29,12,144703,25183,5.7,,1101711,4083011,27,27,27,,15832,8.1,,74842,379,,49646,50,50,51,,46,39,53,19,18,20,49,48,50,36,35,37,60,59,60,6.6,,,,24,23,24,20,19,20,5,5,5,1,1,1,,53,53,53,,45,43,47,31,31,31,38,38,38,35,34,35,63,63,63,9300315,39,38,39,,
36001,New York,Albany,,3336,6039,5716,6363,-0.35,,,,,2228,1599,3022,,10578,9442,11714,,5765,4553,6978,,5553,5187,5920,,13,12,15,-1.37,3.3,3.0,3.6,-1.93,4.1,3.7,4.4,-1.02,,8,8,9,1.07,,,,8,7,9,12,11,13,9,8,11,7,6,7,17,14,19,-1.04,28,25,30,-0.76,8.4,-0.24,20,18,22,-1.34,92,-0.87,22,21,23,0.55,26,95,27,22,33,0.54,1932,624.0,1.21,10,9,10,-0.92,,,,4,3,6,25,23,28,21,18,25,5,4,6,10070,4,4,5,-1.04,299,97,1027:1,-1.22,283,93,1080:1,-1.20,1147,375,266:1,-1.23,3983,-0.50,,1574,7429,3986,3617,46,0.03,,41,39,28,47,55,-1.09,,51,39,50,57,188812,204918,92,92,93,-0.84,58023,75215,77,75,80,-1.77,5745,157444,3.6,-1.07,16,13,19,-0.42,13,7,36,40,8,131267,27048,4.9,0.21,17503,56284,31,28,34,1.30,453,14.8,-1.39,1074,348,0.90,745,48,45,52,-1.05,,,,16,9,25,47,38,57,34,23,48,53,48,57,6.6,-0.16,No,-0.93,15,15,16,14,14,15,1,1,1,1,1,1,-0.18,75,74,76,0.05,,,,61,57,65,58,55,62,58,53,63,84,83,85,157933,21,20,22,-1.20,
36003,New York,Allegany,,637,7433,6498,8369,0.94,,,,,,,,,,,,,,,,,,,,,18,15,20,0.27,4.4,4.0,4.9,1.00,4.7,4.2,5.1,0.80,,7,6,7,-0.82,,,,,,,,,,,,,,,,22,19,26,0.65,37,33,40,1.02,8.0,0.61,28,25,31,0.83,62,1.12,20,19,21,-0.50,5,16,31,18,45,0.95,158,336.9,-0.20,14,12,16,-0.28,,,,,,,,,,,,,,,,1916,6,5,7,0.34,21,45,2211:1,0.51,16,35,2881:1,0.78,109,236,423:1,-0.09,5154,1.20,,,,,,49,-0.56,,,,,,49,0.57,,,,,,27268,30038,91,90,92,-0.46,5820,9318,62,59,66,0.07,1061,19441,5.5,1.73,27,20,33,1.50,,,,41,27,89353,21445,4.2,-0.60,2127,9386,23,19,27,-0.07,72,15.5,-1.63,92,195,-0.21,137,59,49,68,-0.17,,,,,,,,,,,,,,,,6.6,-0.16,Yes,1.06,14,12,16,11,9,12,2,1,3,3,2,3,-0.44,76,74,78,0.08,,,,,,,,,,24,8,41,76,74,78,19545,30,28,32,-0.42,
36005,New York,Bronx,,15102,6711,6567,6854,0.27,,,,,3518,2921,4116,,8488,8185,8790,,5477,5306,5647,,7881,7312,8450,,29,26,32,5.09,4.8,4.4,5.1,1.89,4.5,4.2,4.7,0.14,,10,9,10,2.77,13,7,20,11,10,11,12,11,12,9,8,9,8,7,8,18,16,20,-0.58,29,26,31,-0.62,7.4,1.88,30,28,32,1.39,100,-1.40,16,16,17,-2.60,25,192,13,10,17,-0.95,17689,1202.4,4.05,24,23,24,1.28,,,,6,5,8,19,18,20,29,28,29,11,9,12,104490,9,8,9,3.03,872,61,1642:1,-0.01,775,55,1830:1,0.09,3052,215,465:1,0.09,5474,1.66,1806,3509,6020,6490,4119,32,2.77,,25,33,28,37,40,3.06,37,48,35,34,49,676297,929546,73,72,73,4.61,212819,409835,52,51,53,1.40,32035,597677,5.4,1.58,37,33,40,3.23,47,32,38,42,19,89461,13233,6.8,2.47,177411,353456,50,49,51,4.40,387,2.7,2.49,8486,586,2.64,3558,49,48,51,-0.97,,,,15,11,21,52,49,56,43,41,45,83,76,89,8.2,1.53,No,-0.93,39,38,39,30,30,31,12,12,13,1,1,1,4.02,23,23,24,-3.25,28,16,40,43,40,45,35,33,36,29,28,30,58,57,60,582554,54,52,56,1.66,
36007,New York,Broome,,2451,7179,6723,7635,0.70,,,,,,,,,11233,9010,13455,,6823,4875,9291,,7012,6524,7501,,17,15,19,0.04,4.1,3.7,4.5,0.15,4.7,4.3,5.1,0.87,,8,7,8,0.31,,,,8,6,11,14,12,16,7,5,9,7,6,7,22,19,25,0.57,30,27,33,-0.30,8.0,0.61,23,21,25,-0.54,89,-0.70,22,21,23,0.67,22,65,34,27,40,1.22,623,321.7,-0.28,15,14,16,-0.11,,,,,,,23,19,28,23,19,29,15,13,16,7633,5,4,6,-0.11,158,82,1213:1,-0.72,135,71,1411:1,-0.46,431,226,442:1,0.00,3987,-0.49,,1829,5545,249,3944,46,0.03,,30,37,45,47,53,-0.54,,47,36,40,53,116137,128064,91,90,91,-0.44,27562,41311,67,64,70,-0.46,3956,83444,4.7,0.62,25,20,30,1.17,,28,44,35,19,102543,20429,5.0,0.41,9954,37325,27,24,30,0.58,220,11.5,-0.34,616,315,0.66,690,71,66,77,0.93,,,,,,,70,51,95,66,43,96,74,68,80,7.4,0.69,No,-0.93,16,15,17,14,13,15,1,1,2,1,1,1,-0.12,81,79,82,0.38,,,,59,51,66,60,55,65,65,58,73,84,83,85,84232,15,14,16,-1.75,
36009,New York,Cattaraugus,,1171,7627,6908,8345,1.12,13960,9485,19815,,,,,,,,,,,,,,7556,6796,8316,,20,17,22,1.13,4.7,4.2,5.1,1.62,4.8,4.5,5.2,1.35,,8,7,9,0.65,6,4,9,,,,11,5,18,8,4,13,8,7,9,24,21,27,1.09,39,36,42,1.48,8.1,0.40,29,26,31,1.02,63,1.07,21,20,22,-0.01,11,42,26,18,35,0.42,216,279.3,-0.49,22,20,24,0.99,50,34,69,,,,38,24,58,25,14,41,20,18,23,3903,6,6,7,1.04,33,43,2328:1,0.59,37,49,2057:1,0.30,108,142,705:1,0.69,4970,0.93,5005,,18568,,4788,45,0.23,33,,45,55,45,47,1.12,12,,44,39,48,46955,52849,89,88,90,0.08,9267,16677,56,52,59,0.94,1712,33884,5.1,1.10,22,16,27,0.56,47,12,55,34,20,92200,20309,4.5,-0.16,4340,17064,25,22,29,0.38,114,14.8,-1.41,153,197,-0.20,269,70,61,78,0.80,157,97,241,,,,,,,,,,69,61,78,7.2,0.47,No,-0.93,14,13,15,11,10,12,2,2,3,2,2,2,-0.40,83,82,84,0.51,84,76,92,,,,,,,57,46,68,83,82,85,32891,27,25,29,-0.72,
36011,New York,Cayuga,,992,6392,5727,7058,-0.03,,,,,,,,,,,,,,,,,,,,,17,15,20,0.21,4.2,3.7,4.6,0.33,4.6,4.2,5.0,0.50,,7,6,7,-0.78,,,,,,,11,7,15,8,4,11,6,6,7,23,19,26,0.75,34,31,37,0.45,8.6,-0.66,25,23,28,0.11,80,-0.04,23,22,23,0.82,14,42,33,25,41,1.17,259,333.7,-0.22,18,16,20,0.33,,,,,,,45,32,62,37,23,55,16,14,18,2817,5,4,5,-0.50,20,26,3857:1,1.15,36,47,2127:1,0.36,148,193,517:1,0.27,5700,1.99,,2647,780,6394,5660,55,-1.73,,,31,62,55,56,-1.36,,41,40,48,57,48664,55436,88,87,89,0.38,10710,18519,58,54,61,0.66,1541,35952,4.3,-0.08,21,15,26,0.38,,,14,26,16,107940,26205,4.1,-0.66,3759,15245,25,21,28,0.26,81,10.5,-0.02,190,241,0.12,232,60,52,68,-0.05,,,,,,,65,34,114,,,,61,53,70,6.5,-0.26,Yes,1.06,13,11,14,11,10,13,1,1,2,1,1,2,-0.66,83,81,84,0.52,,,,,,,,,,53,35,70,81,80,83,35549,34,31,36,-0.11,
36013,New York,Chautauqua,,1852,7432,6869,7995,0.94,,,,,,,,,11360,7819,15953,,8988,6980,11394,,7222,6630,7815,,18,16,21,0.44,4.2,3.8,4.6,0.46,4.7,4.3,5.1,0.88,,8,7,8,0.47,,,,,,,10,6,15,9,7,11,7,7,8,24,20,27,1.05,34,32,36,0.49,7.7,1.24,27,25,29,0.62,80,-0.06,22,21,23,0.60,10,55,18,12,26,-0.41,606,469.6,0.45,24,22,26,1.30,,,,,,,20,13,29,50,43,58,21,20,23,5387,6,5,6,0.17,71,55,1802:1,0.17,74,58,1715:1,-0.03,223,176,569:1,0.41,3788,-0.78,,,7204,6330,3679,47,-0.16,18,,40,47,48,53,-0.54,10,67,37,48,54,79498,89517,89,88,90,0.09,16583,28554,58,55,61,0.62,2574,54550,4.7,0.59,24,18,31,1.08,,,55,52,23,93445,18956,4.9,0.30,7041,26107,27,24,30,0.63,222,17.4,-2.22,356,271,0.34,476,74,67,81,1.16,,,,,,,60,30,108,78,55,107,74,67,81,5.8,-1.00,Yes,1.06,16,15,17,14,12,15,1,1,2,2,1,2,-0.15,81,80,82,0.42,,,,,,,54,45,63,61,55,67,83,82,84,54703,19,18,21,-1.36,
36015,New York,Chemung,,1346,8545,7812,9279,1.97,,,,,,,,,12120,9052,15894,,,,,,8412,7635,9189,,18,15,20,0.30,4.3,3.9,4.7,0.60,4.6,4.2,5.0,0.55,,7,7,8,0.09,,,,,,,10,7,12,13,8,17,7,6,8,24,20,27,1.02,35,32,39,0.71,7.9,0.82,30,27,33,1.31,83,-0.23,20,19,21,-0.58,4,32,13,5,23,-1.01,319,372.9,-0.03,27,25,30,1.79,,,,,,,38,29,49,39,26,57,26,24,29,2679,4,3,5,-1.08,64,76,1316:1,-0.51,51,61,1636:1,-0.13,243,291,343:1,-0.54,5813,2.15,,5256,4918,8347,5756,53,-1.34,,53,46,37,53,52,-0.26,,55,44,55,53,53817,59604,90,89,91,-0.32,12430,20474,61,57,64,0.29,1476,35019,4.2,-0.19,20,14,27,0.35,,,37,25,17,103585,23169,4.5,-0.24,4395,18278,24,20,28,0.16,99,11.8,-0.42,169,193,-0.23,363,85,76,94,2.12,,,,,,,99,68,141,,,,86,76,95,6.9,0.16,Yes,1.06,14,13,15,13,12,14,1,0,1,1,1,1,-0.43,82,81,84,0.49,,,,,,,71,58,84,62,46,79,85,83,86,36723,19,17,21,-1.40,
36017,New York,Chenango,,711,7735,6752,8719,1.22,,,,,,,,,,,,,,,,,,,,,18,15,20,0.31,4.3,3.9,4.8,0.71,4.8,4.3,5.2,1.05,,7,6,8,-0.50,,,,,,,,,,,,,,,,23,20,26,0.82,39,36,42,1.56,8.2,0.18,24,22,27,-0.13,74,0.33,20,19,21,-0.66,4,25,16,7,28,-0.64,99,206.8,-0.84,22,19,25,1.02,,,,,,,,,,,,,,,,1848,5,4,6,-0.36,17,36,2796:1,0.82,17,36,2777:1,0.73,94,199,502:1,0.22,4142,-0.27,,,,2151,4104,44,0.42,,,64,20,45,50,0.29,,,28,47,50,30256,34344,88,87,89,0.29,5883,10457,56,52,60,0.85,982,22080,4.4,0.17,20,14,26,0.31,,,,25,16,96150,21450,4.5,-0.23,2109,9876,21,17,26,-0.28,51,10.7,-0.09,90,183,-0.30,135,56,47,66,-0.37,,,,,,,,,,,,,,,,6.6,-0.16,No,-0.93,14,12,15,11,10,13,2,2,3,1,0,1,-0.47,79,77,81,0.26,,,,,,,,,,,,,,,,21140,34,31,37,-0.08,
