FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36000,New York,,,213529,5952,5914,5991,,5029,4446,5613,,2993,2903,3082,,8936,8818,9055,,5546,5467,5626,,5599,5548,5651,,16,15,17,,3.6,3.4,3.8,,3.9,3.7,4.1,,,8,8,8,,9,8,10,9,8,9,12,12,13,8,8,8,6,6,6,13,12,14,,27,26,28,,9.0,,27,26,28,,88,,19,18,20,,1002,4967,20,19,21,,124622,640.6,,13,13,13,,11,9,12,3,3,4,18,17,18,24,24,25,8,8,8,973636,6,6,6,,16482,85,1180:1,,16226,84,1192:1,,62880,325,308:1,,3717,,6259,2400,5584,4590,3400,43,,32,32,36,35,45,49,,33,52,33,38,52,11905267,13649157,87,87,87,,3689650,5294315,70,69,70,,928167,9289174,10.0,,17,16,17,,29,16,28,27,12,149620,26117,5.7,,1071825,4047411,26,26,27,,15802,8.1,,74842,379,,52179,53,53,54,,50,42,57,19,18,20,56,54,57,40,39,40,62,61,62,6.9,,,,23,23,23,19,19,19,5,5,5,1,1,1,,52,52,52,,44,42,46,31,31,32,38,38,39,35,35,36,62,62,62,9219025,39,39,39,
36001,New York,Albany,,3545,6525,6186,6865,-0.18,,,,,2694,1993,3561,,11932,10740,13124,,6322,5033,7611,,5859,5479,6238,,15,13,17,-1.26,3.5,3.3,3.8,-1.13,4.4,4.1,4.6,-0.92,,8,8,8,0.97,,,,8,7,9,12,11,13,10,8,11,7,6,7,15,13,18,-1.07,30,29,32,-0.44,8.3,-0.10,24,22,27,-1.36,84,-0.81,21,21,22,-0.06,23,91,25,20,31,0.35,2015,659.6,1.21,9,9,10,-0.87,,,,4,3,6,24,21,26,20,17,24,5,4,5,9639,4,3,5,-1.03,308,101,992:1,-1.31,278,92,1092:1,-1.20,1213,399,250:1,-1.23,3607,-0.50,,2499,7104,4929,3163,45,0.31,,37,40,42,45,55,-1.34,,52,36,45,57,189407,205082,92,92,93,-0.84,58996,75716,78,75,81,-1.78,11299,157326,7.2,-0.75,13,9,16,-0.76,,11,33,37,7,133604,29019,4.6,-0.04,16269,55884,29,27,32,1.05,462,15.1,-1.68,1074,348,0.90,803,52,49,56,-0.89,,,,16,9,25,62,51,72,49,36,65,54,50,58,7.9,0.86,No,-0.66,15,14,16,14,13,15,1,1,1,1,0,1,-0.17,73,72,75,-0.01,,,,62,56,67,59,54,64,62,58,67,83,82,84,155976,22,20,23,-1.19
36003,New York,Allegany,,646,7085,6185,7985,0.34,,,,,,,,,,,,,,,,,,,,,18,16,21,0.29,4.3,4.0,4.6,1.00,5.1,4.8,5.4,1.16,,7,6,8,-0.56,,,,,,,,,,,,,,,,22,18,25,1.11,32,31,34,0.11,8.0,0.43,29,26,32,0.36,41,1.35,23,21,24,0.58,6,16,38,24,50,1.58,137,297.2,-0.45,13,11,14,-0.35,,,,,,,,,,,,,,,,1824,6,5,6,0.25,21,46,2195:1,0.51,15,33,3039:1,0.83,113,248,403:1,-0.07,3940,-0.01,,,,27273,3954,54,-1.54,,,,,,47,0.77,,,27,,47,27423,29906,92,91,93,-0.64,6013,9259,65,61,69,-0.16,1536,19038,8.1,-0.17,21,14,28,0.97,,,,43,27,92758,21790,4.3,-0.44,1752,9198,19,16,23,-0.56,72,15.6,-1.85,92,195,-0.21,147,63,53,74,0.01,,,,,,,,,,,,,,,,6.5,-0.47,No,-0.66,13,12,14,10,9,11,1,1,2,2,2,3,-0.59,76,74,78,0.14,,,,,,,,,,24,11,38,75,73,78,19219,31,28,33,-0.40
36005,New York,Bronx,,18665,8106,7949,8264,1.27,,,,,4212,3641,4784,,10200,9870,10530,,6646,6458,6833,,9296,8671,9921,,30,27,33,5.15,4.9,4.6,5.2,2.59,4.6,4.4,4.9,-0.13,,10,10,10,2.69,11,5,17,11,10,12,12,11,12,9,9,9,7,7,8,17,14,19,-0.63,34,33,35,0.63,7.6,1.13,39,36,42,4.08,100,-1.59,18,17,18,-2.05,27,207,13,10,17,-0.89,18281,1289.0,4.10,22,21,22,1.13,,,,6,4,7,17,16,18,26,25,27,10,9,12,100053,9,8,9,2.78,896,63,1583:1,-0.07,743,53,1886:1,0.14,3240,231,432:1,0.06,5342,2.07,7590,4008,6140,6215,3732,34,2.57,,31,34,30,39,38,3.15,25,51,33,33,47,683029,930184,73,73,74,4.78,215413,407752,53,52,54,1.35,94436,589087,16.0,5.01,31,27,34,2.93,48,30,36,40,17,93799,13660,6.9,2.59,174580,350307,50,48,51,4.38,396,2.8,2.60,8486,586,2.64,3943,55,53,57,-0.68,,,,18,14,24,61,58,64,47,45,49,89,82,96,8.3,1.24,No,-0.66,39,38,39,30,30,31,12,12,13,1,1,1,4.07,24,24,25,-3.19,23,15,32,43,40,46,35,34,37,30,28,31,59,57,60,571796,55,53,58,1.75
36007,New York,Broome,,2598,7542,7078,8007,0.75,,,,,,,,,11358,9199,13517,,8338,6127,11088,,7350,6855,7844,,19,16,21,0.37,4.1,3.8,4.4,0.35,4.8,4.5,5.1,0.38,,8,7,8,0.49,,,,9,6,11,13,11,14,8,6,10,7,7,8,19,15,21,0.04,32,30,33,-0.09,7.9,0.60,27,24,30,-0.26,79,-0.53,20,20,21,-0.59,22,61,36,30,43,1.43,707,371.2,-0.11,14,13,15,-0.12,,,,,,,24,20,29,21,16,26,13,12,14,7520,5,4,6,-0.03,163,86,1169:1,-0.81,134,71,1414:1,-0.48,446,235,425:1,0.03,4143,0.29,,1460,3970,6840,4134,47,-0.10,,27,39,34,48,52,-0.55,,45,35,39,53,115160,127556,90,89,91,-0.22,27546,41409,67,63,70,-0.36,7099,81897,8.7,0.22,24,18,29,1.54,,26,49,38,21,104945,20462,5.1,0.57,9247,36966,25,22,28,0.39,214,11.2,-0.33,616,315,0.66,735,77,71,82,1.08,,,,,,,82,61,108,62,41,91,80,73,86,6.9,-0.09,No,-0.66,16,15,17,14,13,16,2,1,2,1,1,1,-0.09,79,78,80,0.35,,,,56,46,65,63,54,72,62,53,71,83,82,84,81097,15,13,16,-1.79
36009,New York,Cattaraugus,,1224,8181,7418,8944,1.34,15943,11041,22279,,,,,,,,,,,,,,8088,7282,8894,,20,17,22,0.83,4.5,4.1,4.8,1.40,5.2,4.9,5.5,1.44,,8,7,9,0.83,7,4,10,,,,11,5,18,10,4,15,8,7,9,22,19,25,1.21,33,31,34,0.30,7.9,0.60,31,28,34,1.05,50,0.90,21,20,22,-0.11,11,41,27,19,35,0.50,227,298.2,-0.45,20,18,22,0.88,42,28,60,,,,33,19,52,30,18,47,18,16,20,4088,7,6,8,1.44,35,46,2175:1,0.50,35,46,2168:1,0.38,113,149,671:1,0.69,4473,0.78,8759,,7049,,4357,46,0.11,29,,,,47,45,1.30,10,25,40,35,47,47281,52725,90,89,91,-0.04,9352,16624,56,53,60,0.92,3120,33142,9.4,0.70,22,16,28,1.17,51,7,33,33,22,94544,20298,4.7,0.03,4055,16946,24,21,27,0.22,114,15.0,-1.63,153,197,-0.20,279,73,64,81,0.76,157,97,240,,,,,,,,,,72,63,81,7.3,0.29,Yes,1.49,14,13,15,11,10,13,2,1,2,2,2,3,-0.37,81,79,82,0.46,85,79,91,,,,,,,59,42,75,80,79,81,32618,29,26,31,-0.58
36011,New York,Cayuga,,1063,6976,6266,7687,0.24,,,,,,,,,,,,,,,,,,,,,18,16,21,0.16,4.1,3.8,4.4,0.44,4.9,4.6,5.2,0.58,,7,6,7,-0.60,,,,,,,11,7,15,7,3,10,6,6,7,21,18,24,0.81,34,32,36,0.69,8.5,-0.45,29,26,32,0.21,71,-0.14,23,22,24,0.91,13,37,35,27,44,1.34,266,347.4,-0.22,16,14,18,0.23,,,,,,,44,31,61,31,18,48,14,12,16,2770,5,4,5,-0.40,20,26,3829:1,1.15,35,46,2172:1,0.38,157,207,484:1,0.25,4168,0.33,,,3144,6252,4038,54,-1.54,,,36,38,54,55,-1.34,,34,40,47,56,49067,55612,88,87,89,0.39,10881,18667,58,54,62,0.67,2799,35417,7.9,-0.28,15,10,20,-0.19,,7,44,20,16,109790,25398,4.3,-0.36,3785,14993,25,21,29,0.43,78,10.2,0.03,190,241,0.12,256,66,58,75,0.26,,,,,,,60,30,107,,,,69,60,77,6.4,-0.56,Yes,1.49,13,12,14,11,10,13,1,1,1,1,1,2,-0.58,83,82,85,0.63,,,,,,,,,,52,37,67,82,80,83,34920,34,31,36,-0.14
36013,New York,Chautauqua,,1889,7861,7279,8443,1.05,,,,,,,,,11226,7727,15765,,10239,8021,12457,,7636,7017,8255,,20,17,22,0.88,4.4,4.1,4.6,1.11,5.0,4.7,5.3,0.91,,8,7,8,0.35,,,,,,,9,5,13,9,7,11,7,7,8,22,18,25,1.04,34,32,35,0.60,7.6,1.13,29,26,32,0.36,63,0.28,22,21,23,0.48,8,53,15,9,23,-0.68,630,496.4,0.46,23,21,24,1.30,,,,,,,17,11,25,45,38,53,20,19,22,5210,5,5,6,0.16,68,54,1866:1,0.25,72,57,1750:1,-0.01,229,182,550:1,0.44,3305,-0.95,,,4691,3775,3257,49,-0.51,30,,33,31,50,52,-0.55,19,54,35,43,53,79938,89393,89,89,90,0.03,17064,28491,60,57,63,0.47,4702,52729,8.9,0.38,19,12,26,0.64,,70,63,44,21,95508,19781,4.8,0.22,6227,25781,24,21,27,0.26,216,17.0,-2.34,356,271,0.34,496,78,71,84,1.16,,,,,,,82,46,136,79,56,108,78,70,85,6.6,-0.37,Yes,1.49,15,14,17,13,12,14,2,1,2,1,1,2,-0.16,80,78,81,0.39,,,,,,,49,37,61,59,50,68,81,80,83,54733,20,19,22,-1.29
36015,New York,Chemung,,1377,8581,7857,9304,1.70,,,,,,,,,11093,8357,14439,,,,,,8527,7750,9304,,18,16,20,0.12,4.1,3.8,4.4,0.51,4.9,4.6,5.2,0.66,,8,7,8,0.46,,,,8,3,12,9,7,12,13,9,18,7,7,8,21,18,23,0.71,33,31,34,0.27,7.9,0.60,29,26,32,0.50,73,-0.25,22,21,23,0.20,6,28,21,12,32,-0.04,386,462.5,0.31,26,24,29,1.86,,,,,,,38,29,49,44,30,62,24,22,27,2636,4,3,5,-0.96,65,78,1284:1,-0.56,52,63,1589:1,-0.21,257,311,321:1,-0.55,6024,3.08,,3073,8351,,5958,51,-0.92,,56,43,55,51,50,-0.02,,53,37,49,50,53323,59312,90,89,91,-0.11,12301,20503,60,56,64,0.46,3102,35430,8.8,0.28,20,14,26,0.79,,5,19,42,18,102972,23280,4.4,-0.25,4688,17940,26,22,31,0.57,97,11.6,-0.46,169,193,-0.23,372,88,79,97,2.02,,,,,,,101,69,143,,,,89,79,99,6.2,-0.75,Yes,1.49,13,12,15,12,11,13,1,0,1,1,1,1,-0.51,82,80,83,0.53,,,,,,,71,62,81,,,,84,83,86,36332,17,15,19,-1.61
36017,New York,Chenango,,752,8555,7505,9605,1.68,,,,,,,,,,,,,,,,,,,,,19,16,22,0.37,4.3,4.0,4.6,0.94,5.1,4.8,5.4,1.14,,7,6,8,-0.22,,,,,,,,,,,,,,,,21,18,25,0.94,34,32,35,0.56,8.2,0.08,29,26,32,0.43,48,1.00,24,23,25,1.17,5,32,16,7,26,-0.63,103,218.2,-0.81,21,18,24,1.07,,,,,,,,,,,,,,,,1703,5,4,5,-0.53,16,34,2950:1,0.90,16,34,2921:1,0.79,92,197,508:1,0.32,4023,0.12,,,,,,46,0.11,,,,50,46,47,0.77,,,27,52,47,30196,34132,88,87,90,0.31,5778,10451,55,51,60,1.04,1499,21760,6.9,-0.94,16,9,22,-0.11,,,,19,15,97010,22398,4.3,-0.35,2066,9792,21,17,25,-0.23,53,11.2,-0.33,90,183,-0.30,158,66,56,77,0.25,,,,,,,,,,,,,,,,6.5,-0.47,No,-0.66,13,12,15,10,9,12,2,2,3,1,1,1,-0.54,80,78,82,0.42,,,,,,,,,,,,,,,,21187,34,31,37,-0.11
