Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2011,36001,Albany,2948,12,8,0.0,0,0,0.0029850746268656
2011,36003,Allegany,565,16,6,0.0,0,0,0.0002430724355858
2011,36005,Bronx,14630,26,9,0.0,0,0,0.000956937799043
2011,36007,Broome,2243,13,7,0.0,0,0,0.0002620545073375
2011,36009,Cattaraugus,1007,20,6,0.0,0,0,7.515406583496167e-05
2011,36011,Cayuga,842,15,7,0.0,0,0,0.0002006018054162
2011,36013,Chautauqua,1494,17,7,0.0,0,0,0.0020746887966804
2011,36015,Chemung,1005,21,8,0.0,0,0,0.0021367521367521
2011,36017,Chenango,602,13,6,0.0,0,0,0.0029411764705882
2011,36019,Clinton,845,16,7,0.0,0,0,0.0003427004797806
2011,36021,Columbia,738,13,7,0.0,0,0,9.683354313934346e-05
2011,36023,Cortland,510,18,8,0.0,0,0,0.0017667844522968
2011,36025,Delaware,638,13,6,0.0,0,0,0.0001306165099268
2011,36027,Dutchess,2652,10,6,0.0,0,0,0.0024330900243309
2011,36029,Erie,10681,14,8,0.0,0,0,0.0001703577512776
2011,36031,Essex,425,11,5,0.0,0,0,0.0043103448275862
2011,36033,Franklin,559,16,8,0.0,0,0,0.0001387732445184
2011,36035,Fulton,618,19,7,0.0,0,0,0.0005443658138268
2011,36037,Genesee,595,14,6,0.0,0,0,0.0002416042522348
2011,36039,Greene,671,13,8,0.0,0,0,0.0003258390355164
2011,36043,Herkimer,722,14,6,0.0,0,0,4.8160277403197845e-05
2011,36045,Jefferson,1088,13,6,0.0,0,0,5.9747864013861504e-05
2011,36047,Kings,23756,22,8,0.0,0,0,0.0001670564650851
2011,36049,Lewis,282,16,6,0.0,0,0,0.0001152472052552
2011,36051,Livingston,576,12,5,0.0,0,0,3.171180313312615e-05
2011,36053,Madison,683,13,7,0.0,0,0,0.0002853067047075
2011,36055,Monroe,6698,16,7,0.0,0,0,0.0004852013585638
